PIDN,Ca
09gt9UK5,-0.564034323394299
0BVvxJ6a,0.34258081689477
0dTqplIM,-0.0870324922725558
0KbdgApg,-0.0148487867671065
0lNiZicC,-0.406666510552168
0MnuuduB,-0.340614562481642
0PcIsF9z,-0.562395037710667
0rGeJ0QN,-0.420364852249622
0ShTFLYJ,-0.431708239763975
0sXI9ytQ,-0.525643682479858
0ukt4aP6,-0.0451876665698364
0XZh9jka,-0.313843024335802
0Y7Wegri,-0.102023087954149
1AGspb8f,-0.517637801170349
1arHxK3Y,0.543162985146046
1Csy0gvE,-0.401913638412952
1fCW4Bba,-0.440212182700634
1Ic2hly1,-0.331572024524212
1PPbaTwt,-0.3886195063591
1qDZNvIm,-0.438583247363567
1SO5VJNy,-0.367771847546101
28LYJC2V,-0.430862267315388
2cx85d9H,0.218994051590562
2CzACvQq,0.26271487660706
2FT3crfv,-0.348878208547831
2Fy2uHVg,-0.481113985180855
2homMXMV,-0.449068233370781
2ldLrUtq,-0.402546843141317
2MkMEApm,-0.387968122214079
2NDGWEOe,0.466594264656305
2nsACW6G,-0.516285859048367
2NyyCiqn,-0.384829121828079
2QcbdrUZ,-0.482881678640842
2QRzIb84,0.0409179562935606
2YgAimWK,-0.380854898691177
2yMbVnWc,-0.298494609445333
36r8sgGQ,-0.358957658708096
3fRLm8f5,-0.517512165009975
3mZhp1nQ,-0.505023977160454
3NXAXCl3,-0.491153998672962
3pikJXRL,-0.538788050413132
3pxOEGHL,-0.439281129837036
3QG0z6fl,-0.449300044775009
3ttdV3f5,-0.334419271163642
3v4X6Mfe,0.689292535185814
3wORuPiv,-0.456731896102428
3WS8R9qm,-0.428170111775398
43EfrxZj,-0.0648701461730525
457Vwm21,0.340443587303162
46KNnOdx,-0.497988867759705
47TwNsVC,-0.361561637371778
49856RpO,-0.410142539441586
4Ane1o2N,-0.466287840902805
4AyVUgSc,-0.292374818248209
4B1951On,-0.245040546660312
4eQ90eLY,-0.17317449208349
4o5jwMj8,-0.412997958064079
4OL39Teo,-0.148898495454341
4vPgpl2c,-0.397516629099846
51r9aA0d,-0.13587942905724
58SmeRoP,-0.317179433256388
5a8sf6QV,0.18813749961555
5eSvmqYm,-0.420986947417259
5HJp1AXn,-0.409188848733902
5hkN8fiv,-0.538177572190762
5MBZW7fx,-0.236161790415645
5Nq3gHaP,0.0970847296761349
5oK8Gti5,-0.509686191380024
5paniGaU,-0.450929644703865
5RmwFFK3,0.935253342986107
5Tu5Jbov,-0.427427199482918
5vsr7ZUP,0.671661362051964
5YEolkev,-0.375729867815971
60B4xMWI,-0.3348189227283
64jOUtKy,0.375497528351843
6AJo4xNG,-0.346330998837948
6CAvhEte,-0.399262940138578
6CuGYjT5,2.66381876468658
6DGH8ujZ,-0.549488510191441
6eUWsVzw,0.66909751445055
6gNyO7Do,0.313468430284411
6jT0AyHe,-0.0640387718332931
6nBgCvWu,-0.449088154733181
6PzsGdVm,-0.311994516849518
6ro5mqg6,-0.35622613504529
6sGqObX4,-0.448045262694359
6UcSJMbq,-0.262679249420762
6uEGy0n4,1.48377853929996
6WJbkH8U,0.901812765002251
7aF7nnwn,-0.43110100030899
7asGzfX9,-0.216153396293521
7BZ4LxP8,-0.0780412644380704
7cg7C92o,-0.167115863971412
7CmigXKi,-0.403422473371029
7eOxTpsB,-0.298505280911922
7ey0v7ma,-0.437313404679298
7Ga0LpfR,0.607408848404884
7gocyrYl,-0.359675117582083
