PIDN,P
09gt9UK5,-0.588506301492453
0BVvxJ6a,-0.330010795406997
0dTqplIM,-0.267901637963951
0KbdgApg,-0.280247266031802
0lNiZicC,-0.643466883152723
0MnuuduB,-0.087692004814744
0PcIsF9z,-0.547029696637765
0rGeJ0QN,-0.224952713772655
0ShTFLYJ,-0.484937014430761
0sXI9ytQ,-0.598957866081037
0ukt4aP6,-0.496245488058776
0XZh9jka,-0.284181226789951
0Y7Wegri,0.335296367586125
1AGspb8f,-0.143790149281267
1arHxK3Y,0.605818808823824
1Csy0gvE,-0.126846596226096
1fCW4Bba,0.304127017408609
1Ic2hly1,1.26862179175951
1PPbaTwt,0.125579510629177
1qDZNvIm,-0.243905848823488
1SO5VJNy,0.337537652946776
28LYJC2V,-0.41452159434557
2cx85d9H,-0.366115147038363
2CzACvQq,0.588022291660309
2FT3crfv,-0.719151171291014
2Fy2uHVg,-0.0616207418963313
2homMXMV,-0.570605239318684
2ldLrUtq,-0.313197106868029
2MkMEApm,0.260473028942943
2NDGWEOe,0.926575017720461
2nsACW6G,-0.300575985945761
2NyyCiqn,0.371332864835858
2QcbdrUZ,0.96923583811149
2QRzIb84,0.729972931742668
2YgAimWK,0.157689841836691
2yMbVnWc,-0.369795073568821
36r8sgGQ,0.283468456566334
3fRLm8f5,-0.492185482010245
3mZhp1nQ,-0.577420847117901
3NXAXCl3,-0.469682262884453
3pikJXRL,-0.251239992119372
3pxOEGHL,0.117530750785954
3QG0z6fl,-0.15303743891418
3ttdV3f5,3.02187387347221
3v4X6Mfe,-0.102989283110946
3wORuPiv,-0.457573191169649
3WS8R9qm,-0.563647707551718
43EfrxZj,0.935806663706899
457Vwm21,0.0196198456455022
46KNnOdx,-0.265815300308168
47TwNsVC,-0.815840238332748
49856RpO,-0.383676934428513
4Ane1o2N,-0.43865596242249
4AyVUgSc,-0.570430028438568
4B1951On,-0.653499841457233
4eQ90eLY,-0.0306768143782392
4o5jwMj8,-0.133214316796511
4OL39Teo,1.08869755044579
4vPgpl2c,0.0792007725685835
51r9aA0d,-0.407496793940663
58SmeRoP,0.609994165599346
5a8sf6QV,0.0736501564737409
5eSvmqYm,1.16036833450198
5HJp1AXn,0.62226297929883
5hkN8fiv,-0.525831263139844
5MBZW7fx,-0.342061655037105
5Nq3gHaP,2.57930186390877
5oK8Gti5,-0.581095234304666
5paniGaU,-0.154901478625834
5RmwFFK3,-0.637556271627545
5Tu5Jbov,-0.0312180968001485
5vsr7ZUP,-0.536810713727027
5YEolkev,-0.465486391074955
60B4xMWI,0.216298049688339
64jOUtKy,-0.23049786426127
6AJo4xNG,0.473227029317059
6CAvhEte,-0.109528265334666
6CuGYjT5,-0.415084393136203
6DGH8ujZ,-0.531739751761779
6eUWsVzw,-0.512350364401936
6gNyO7Do,-0.350846841465682
6jT0AyHe,-0.586965468525886
6nBgCvWu,1.36419047787786
6PzsGdVm,-0.267690805345774
6ro5mqg6,-0.239446073872386
6sGqObX4,-0.437427332252264
6UcSJMbq,0.180824068933725
6uEGy0n4,0.394974331185222
6WJbkH8U,-0.487536037992686
7aF7nnwn,-0.485164019837976
7asGzfX9,-0.469737206958234
7BZ4LxP8,-0.431263243872672
7cg7C92o,0.224607530608773
7CmigXKi,-0.548084854334593
7eOxTpsB,0.147827270254493
7ey0v7ma,-0.549204867798835
7Ga0LpfR,-0.207265569828451
7gocyrYl,0.413848983123899
7gqR3GoA,-0.364325607940555
7og7aUXB,-0.0989994917064905
7onRfa8F,-0.153330571367405
7PQsFvsG,-0.620323678757995
7umkNuxM,-0.327718549221754
7vPr9ExD,1.28819156512618
7zNjpCzu,-0.114853601716459
7ztsQNj3,1.0145260065794
86gppwMI,-0.312136837141588
88thAGdL,0.522486187331378
8ajs2uG8,-0.241157082997961
8bXnz62p,-0.717188721895218
8GhU8STP,0.0855090170633048
8NlzDcWe,-0.5361524164211
