PIDN,P
09gt9UK5,-0.106842584814876
0BVvxJ6a,0.106645611766726
0dTqplIM,-0.0297715369611979
0KbdgApg,-0.172997355088592
0lNiZicC,-0.243231305386871
0MnuuduB,-0.377234078384936
0PcIsF9z,-0.184948418661952
0rGeJ0QN,-0.0638488874770701
0ShTFLYJ,-0.248502476327121
0sXI9ytQ,-0.116058050561696
0ukt4aP6,0.0833710396662354
0XZh9jka,-0.320056524127722
0Y7Wegri,1.8389915317297
1AGspb8f,-0.265624531684443
1arHxK3Y,0.191241330443881
1Csy0gvE,0.0428251196630299
1fCW4Bba,0.279152117157355
1Ic2hly1,0.0904658572515473
1PPbaTwt,0.655316412262618
1qDZNvIm,-0.248200583062135
1SO5VJNy,-0.125269391410984
28LYJC2V,-0.126909852056997
2cx85d9H,0.0575640447437763
2CzACvQq,1.26205862164497
2FT3crfv,-0.213694736361504
2Fy2uHVg,-0.00869169300422072
2homMXMV,0.135602541081607
2ldLrUtq,0.154898377228528
2MkMEApm,0.466371345147491
2NDGWEOe,-0.122914488753304
2nsACW6G,-0.300058680400252
2NyyCiqn,-0.113075061363634
2QcbdrUZ,-0.316540363430977
2QRzIb84,0.660914370045066
2YgAimWK,0.54213768132031
2yMbVnWc,0.197476051154081
36r8sgGQ,-0.318678836524487
3fRLm8f5,-0.158565731346607
3mZhp1nQ,-0.277588267344981
3NXAXCl3,-0.337972094397992
3pikJXRL,-0.435479236394167
3pxOEGHL,-0.289880929142237
3QG0z6fl,0.927386042103171
3ttdV3f5,2.01850280165672
3v4X6Mfe,-0.250823378749192
3wORuPiv,-0.0157797489315271
3WS8R9qm,-0.296901126950979
43EfrxZj,0.425078773498535
457Vwm21,0.614238838106394
46KNnOdx,-0.0326906511560082
47TwNsVC,-0.338521660864353
49856RpO,-0.162807606719434
4Ane1o2N,-0.173752742027864
4AyVUgSc,-0.122922564391047
4B1951On,-0.0303051417693496
4eQ90eLY,2.51572226881981
4o5jwMj8,-0.335403960943222
4OL39Teo,0.910486699640751
4vPgpl2c,-0.201027697324753
51r9aA0d,0.236946037132293
58SmeRoP,0.303186782565899
5a8sf6QV,-0.0651091465726495
5eSvmqYm,-0.212150076404214
5HJp1AXn,-0.00796632252013296
5hkN8fiv,-0.309890735894442
5MBZW7fx,-0.2636105353944
5Nq3gHaP,0.912628722190857
5oK8Gti5,0.177463487884961
5paniGaU,-0.253090668469667
5RmwFFK3,1.69732549935579
5Tu5Jbov,0.052453999890713
5vsr7ZUP,0.117957999743521
5YEolkev,-0.166609622351825
60B4xMWI,0.458930763509125
64jOUtKy,0.338558812625706
6AJo4xNG,0.137092538166326
6CAvhEte,-0.0593192389700562
6CuGYjT5,-0.14479099009186
6DGH8ujZ,-0.156327739357948
6eUWsVzw,0.758263178169727
6gNyO7Do,0.0176004116423428
6jT0AyHe,-0.0840187954367138
6nBgCvWu,-0.120410542504396
6PzsGdVm,0.217336892345338
6ro5mqg6,-0.277782444562763
6sGqObX4,-0.225955248996615
6UcSJMbq,0.335691155539826
6uEGy0n4,-0.00068968627601862
6WJbkH8U,-0.3411860184744
7aF7nnwn,-0.264418083801866
7asGzfX9,-0.109828210063279
7BZ4LxP8,-0.365129362232983
7cg7C92o,0.317581840790808
7CmigXKi,-0.197740852221614
7eOxTpsB,0.242084488947876
7ey0v7ma,-0.347799052577466
7Ga0LpfR,1.2963821208803
7gocyrYl,0.0292936547892168
7gqR3GoA,-0.26608675015159
7og7aUXB,0.52625252478756
7onRfa8F,-0.0160008383914828
7PQsFvsG,0.0100937145762146
7umkNuxM,-0.186337020702194
7vPr9ExD,-0.0546343222609721
7zNjpCzu,0.0695658814162016
7ztsQNj3,0.706235782057047
86gppwMI,-0.248106608912349
88thAGdL,-0.0471481429412961
8ajs2uG8,-0.277220911346376
8bXnz62p,-0.183054343145341
8GhU8STP,0.845058864355087
8NlzDcWe,0.201634885929525
8nO1O1LG,1.39910964369774
8QAejdLW,-0.135210084170103
8RDeFxWM,0.199868115317076
8UXP2NBS,-0.192979976255447
8xE1p8g8,0.244186083506793
8yMDVMRM,0.0502384776249528
8ZoV3KGT,-0.221208201302215
98R5VaPi,0.62098725065589
9DcTz2Ua,-0.201655531907454
9G7nfUrK,0.0880311332643032
9iQwmFJR,-0.280712842941284
9O6GZ1HT,0.469128697738051
9S7fCoAM,-0.278194434568286
A3Mt6SAQ,-0.253955503134057
a7bhJGBU,0.989533284213394
AaFvEoHq,-0.126728854514658
abCzN1zx,-0.381019094586372
ae7sMiB4,0.187325244001113
afsVuCGV,-0.248925822135061
aHpv6KzP,0.331661598198116
AiIPD6hX,0.635453613428399
aINzEBVN,-0.334139616787434
aiwBQETI,-0.224589851498604
aiyli4EI,0.775292946398258
AJIsQIcV,-0.18750233463943
AMHKXMh8,0.133608101168647
aP9EtTGF,-0.283999935723841
apJ7NmzD,-0.103693929687142
AsIURvJS,-0.273980420548469
AsvgbJ0C,-0.037587338371668
ASwA2J4E,-0.158632769284304
atVjNMtQ,-0.35746729336679
aV6EhtSL,-0.265593840042129
aVZsXKoH,-0.16960337262135
AxEhbkCM,-0.260261695086956
aYVnVJvc,0.0436463837977499
b5GirVGV,-0.210548665933311
B7VPkIpx,-0.192691655084491
b9SpMjNB,0.161437598068733
bAFs37yy,-0.268848110409454
bat8tcGs,-0.31469097500667
BBwHqHiH,-0.176143236085773
bDia1hHV,-0.271470596501604
bfjej4wu,-0.218896922143176
bFkv5Mtr,-0.0541707217460498
bh04YDiP,-0.163920887233689
bHe2IXgA,-0.057711488334462
BMyps8hr,-0.347185578942299
BUHS4dQw,0.58007905818522
bWX3vUm5,-0.133866907283664
BZB3EYWQ,0.197520989645272
c110Fdc8,-0.254991329275072
c32GUzMa,0.0224448677152395
C5gIfQbJ,-0.205378230719361
C5UPCZcL,-0.042242629500106
CDRuu4Pn,-0.160199697315693
ceNvS3yd,-0.157249419204891
ChnD1nrN,-0.0999434747151099
ChQdtl4J,-0.404118064790964
cmwdt4Av,0.462223079800606
cn4EHsup,0.0042925052344799
CQhTYkqE,1.10862346179783
crVOGGTT,0.595034871902317
CSEobMXv,-0.201214968599379
csPEJ1E5,2.16471405029297
cT6uU0B0,-0.129891068977304
CvtbbIcq,-0.185791060840711
cWXCiFwh,-0.3535987932235
Cxk06b77,-0.20025753187947
CYMQE4x0,2.34682727456093
d0UrRtMk,-0.267958871461451
D3QD3ZEJ,0.20672537018545
d6LU4G4I,-0.225846643862315
d74T1DVv,-0.193407748453319
D8J5C6lA,2.67549588084221
DCeQwYfT,0.288490731455386
DDEftkx3,-0.076554379647132
de43ycXY,0.401291154604405
DEwCfeDW,-0.196184679865837
dfIn7m9z,-0.198243927722797
dhmb9ZY9,0.019800085388124
DMkIV4oL,-0.245546350628138
dn8kCuyf,-0.187751550227404
DnzGfbxS,-0.248975422419608
DoZxo6f6,-0.341292161867022
dpcquvWW,-0.201183768734336
dqcbIMyr,-0.188205030560493
dR6rM1tQ,-0.334945310279727
drWgsBf5,0.524013823829591
dUnlyhj7,-0.254505676776171
dUNxOoqg,-0.21291267098859
dVDlnZQ6,0.290612789988518
DvhBPGIk,-0.243743787333369
dVT26GDu,0.381997552141547
Dx7GoUcT,-0.0989799792412668
dytx0HSe,-0.0946035838569514
e4KkkIha,-0.0202405931428075
E5hIjohO,0.210615271748975
E6x4XGHt,0.157371143391356
e9YorH4m,0.0893696255981922
eaIwb3rG,0.407977692782879
eB9gVQ0R,-0.0994012835435569
EDEpAzh1,-0.225737714674324
Ehw2Jz6s,-0.352093299850821
EjqzC4zH,-0.171178126567975
EkMZO3Qj,-0.231918991636485
eMhLFqU6,-0.184549976466224
eMllg1qm,0.0185456385836005
EnoNXWvU,0.210211975406855
eNPunZ9i,-0.085380095714936
Epv8ANwr,-0.144780700586853
eS5BSM4J,-0.0318733103573322
ETGudkQt,0.0986422943649814
Etro9j0B,0.169431951642036
EUleKrLJ,-0.145292287366465
eVGMFoOI,-0.0997491938294843
eyzw8Vis,0.78596671372652
f04Ke2bN,0.130313080083579
F3MIZj76,-0.367193449870683
f4GA0te1,-0.363208405673504
f7bd91h5,-0.0474441179074347
favPNA2N,0.143735261575785
FaW764jk,-0.0309090639464557
fB7z9ndr,0.949026980251074
FB8tU00K,-0.200575088744517
FeAbMXly,-0.300052340840921
fEe7AWFA,-0.0484734216704965
FeudaFXn,0.585622914228588
fJJIbgY9,0.641258620843291
FldUmFeM,0.0873096252442338
FLhxBGMK,-0.163211884535849
Fnv5tfAm,0.117905235179933
fQBURMvg,0.287092106230557
FRreR8ka,-0.459482976794243
fS0HpOub,-0.24336609300226
fTDXauuk,0.428248257376254
FvrAd3Or,0.386597053520381
FXne4oAV,-0.0777647572545902
g3Fv0U4k,-0.238586093299091
G48zHffi,0.457853267621249
g5PKo2E2,0.716618590056896
G76zCv5N,-0.198579504899681
G7JGUdNf,0.178510507754982
gbjnD5fe,-0.317738442122936
GCo6MONx,0.729202065244317
GE0vbpVQ,0.342644210811704
ge9zqXCv,-0.31643991637975
geeqJpSE,-0.339516446366906
GemPjTJ9,-0.293775828927755
GkLYRm1K,0.10874359356676
GmlqP8eI,-0.341935543715954
GN0DfOqt,0.189886609744281
GNsTAb1v,-0.258916167728603
GPwmO21z,-0.161827253410593
GqkIrOvf,-0.168797248601913
gqy1J2RS,-0.177748749498278
GQYpfLoh,1.36838464606553
GR9knT8n,-0.0509981237817556
grlUtS3H,-0.209745341399685
gx965KYj,0.859065724071115
GXtFFbZy,0.742564563517226
GYvzvvFD,-0.137937380699441
H0fsegPi,-0.201129088370362
h3F08Vjm,-0.174246452376246
H4dHpJjU,2.27821031808853
H5QwJCuU,0.39792480263859
H5uwmSZ0,-0.213563724979758
h6FQG8Iy,0.339725375175476
h7ftM8b3,0.0823822577483952
H8MtbVoL,0.151002217647329
H9JrUYnp,-0.376635685190558
HdKcxEWr,0.38956624083221
HecW1iCC,-0.212211672123522
hf65yZkM,-0.0778801827691495
HHYmmHVk,-0.0912660458125174
HJ5U4uqL,-0.205547777432366
hjuwe1x4,-0.354216186702251
hLrCHXZv,0.665557900816202
HNQxYc4w,-0.400867815315723
HpbKB8rv,-0.354114761948585
hQ6VBuFx,0.0364302285015583
HQYhKHZ8,-0.13642072994262
HrkoYjCg,-0.0160108896438032
HSCMx0MC,-0.168578652851284
HXYuE0fx,-0.12636326700449
hyINlsFR,0.480750656872988
hYoR2y7w,-0.246863884758204
i0Qlm9Bv,0.290426291222684
i1VxfxMb,0.0990041798446328
i2l6jXNP,0.0159891722723842
i4FgPZv7,-0.156643420908949
I5P2uquT,-0.206931349541992
i7XtIkSi,0.150818539084867
I94qkDM7,-0.3018085709773
I9sQbtt8,-0.216904086340219
i9z346Ut,-0.0174131093779579
Iaq3v0t3,-0.176499897614121
IbVwu1t6,-0.228583604376763
IcHKTLyo,0.240045350976288
iDOat4cZ,0.19076218623668
ieTPaa3c,0.0688527296297252
if7BmzU0,-0.353544992953539
IFxgw6ZX,-0.182137981359847
ihNz5bmx,-0.231867675983813
ikJXKdIN,0.122728566359729
iNv6RoSO,0.168630618066527
IPPPSyoU,-0.228862954908982
IpW80wVB,-0.175971374707296
iq2kxikN,-0.265799166820943
IQOYQubU,0.506166547816247
iSL9NYzy,-0.190571042289957
iSqVc1r8,0.977777056396008
Itb0PYUV,0.186856055166572
iuZEDJK7,-0.30606668505352
iyF8gVT7,0.410601878399029
IYNE2SxU,-0.186834209598601
iYZMftt6,-0.256758858263493
IZRFk9kN,0.652715030685067
j06qdQ0V,-0.120800081989728
j7hl8svO,-0.390630622580647
J8fpSwS0,-0.128029388934374
j8hMoJUN,-0.253724211826921
JcE9G92B,0.749532648921013
JE1SlbD0,0.387266095355153
JEB4McNb,-0.290112546086311
JEE4QVeQ,-0.217558764695423
JJSEU2VQ,-0.110412434116006
jNaFasbV,-0.314810248091817
JnNYpXHr,1.36424707174301
JSsVriP2,0.0289065844379365
juO5ii5l,-0.0334776454605162
JUvQNiOK,-0.173342807823792
jVVHeYHT,-0.112559100662475
jXm4ySvK,-0.192801535967737
JZbrRtm2,0.317195531353354
JzpbnOtz,0.551634784974158
JzzUhPQp,0.12627323474735
K05R8dQK,-0.208368412405252
