PIDN,Ca
09gt9UK5,-0.475029937922955
0BVvxJ6a,0.382354222610593
0dTqplIM,-0.0774662844371051
0KbdgApg,-0.0815945877926424
0lNiZicC,-0.446945607662201
0MnuuduB,-0.2202885909006
0PcIsF9z,-0.514942049980164
0rGeJ0QN,-0.33930153362453
0ShTFLYJ,-0.398757715523243
0sXI9ytQ,-0.509409077465534
0ukt4aP6,0.350509560853243
0XZh9jka,-0.186598919844255
0Y7Wegri,-0.237144166603684
1AGspb8f,-0.476469354331493
1arHxK3Y,0.713171668350697
1Csy0gvE,-0.396973054111004
1fCW4Bba,-0.418858507275581
1Ic2hly1,-0.32389809936285
1PPbaTwt,-0.396365097165108
1qDZNvIm,-0.49722676128149
1SO5VJNy,-0.358002204447985
28LYJC2V,-0.464762169122696
2cx85d9H,0.221004988066852
2CzACvQq,0.466463282704353
2FT3crfv,-0.252226211875677
2Fy2uHVg,-0.475543789565563
2homMXMV,-0.501257272064686
2ldLrUtq,-0.356608486920595
2MkMEApm,-0.425650663673878
2NDGWEOe,0.4563711296767
2nsACW6G,-0.366882519796491
2NyyCiqn,-0.363899017870426
2QcbdrUZ,-0.401682098209858
2QRzIb84,0.150663308240473
2YgAimWK,-0.338657688349485
2yMbVnWc,-0.437541095912456
36r8sgGQ,-0.443903236091137
3fRLm8f5,-0.427679106593132
3mZhp1nQ,-0.496140424907208
3NXAXCl3,-0.408114212751389
3pikJXRL,-0.43053138628602
3pxOEGHL,-0.484056884050369
3QG0z6fl,-0.407831609249115
3ttdV3f5,-0.364842990785837
3v4X6Mfe,0.973565983772278
3wORuPiv,-0.374938577413559
3WS8R9qm,-0.429949670284986
43EfrxZj,-0.0292237169342116
457Vwm21,0.071804655273445
46KNnOdx,-0.574222035706043
47TwNsVC,-0.361550995707512
49856RpO,-0.376418778300285
4Ane1o2N,-0.386655902862549
4AyVUgSc,-0.390229341387749
4B1951On,-0.113008129923764
4eQ90eLY,-0.0616135390009731
4o5jwMj8,-0.464844486117363
4OL39Teo,-0.0468192505184561
4vPgpl2c,-0.438198889791965
51r9aA0d,-0.359921525418758
58SmeRoP,-0.34481465741992
5a8sf6QV,0.0236020389012992
5eSvmqYm,-0.319287379831076
5HJp1AXn,-0.422591096162796
5hkN8fiv,-0.449487171322107
5MBZW7fx,-0.138145744521171
5Nq3gHaP,0.22876726668328
5oK8Gti5,-0.494314943253994
5paniGaU,-0.453651191294193
5RmwFFK3,0.308817140944302
5Tu5Jbov,-0.398313784599304
5vsr7ZUP,0.58602876663208
5YEolkev,-0.347926019877195
60B4xMWI,-0.287424691021442
64jOUtKy,0.167088859551586
6AJo4xNG,-0.3752814412117
6CAvhEte,-0.354904261231422
6CuGYjT5,2.65984654426575
6DGH8ujZ,-0.452402400970459
6eUWsVzw,0.410244531929493
6gNyO7Do,0.179205430415459
6jT0AyHe,0.0284058247692883
6nBgCvWu,-0.482232061028481
6PzsGdVm,-0.362715928815305
6ro5mqg6,-0.330694931745529
6sGqObX4,-0.470615124702454
6UcSJMbq,-0.229626197367907
6uEGy0n4,1.53390529751778
6WJbkH8U,0.813519981503487
7aF7nnwn,-0.444240989536047
7asGzfX9,-0.158026609197259
7BZ4LxP8,-0.227710755681619
7cg7C92o,-0.0664475943893194
7CmigXKi,-0.379547363519669
7eOxTpsB,-0.337943781167269
7ey0v7ma,-0.429734119772911
7Ga0LpfR,0.123801833763719
7gocyrYl,-0.308592177182436
7gqR3GoA,-0.395679976046085
7og7aUXB,-0.172060710843652
7onRfa8F,-0.0772354467102559
7PQsFvsG,-0.486900912225246
7umkNuxM,-0.211579485610127
7vPr9ExD,-0.0424943155579967
7zNjpCzu,-0.421397121250629
7ztsQNj3,-0.37752123400569
86gppwMI,-0.524855099618435
88thAGdL,-0.367052306979895
8ajs2uG8,-0.43391535282135
8bXnz62p,-0.126306610647589
8GhU8STP,1.26083755195141
8NlzDcWe,-0.411994265019894
8nO1O1LG,1.63930473327637
8QAejdLW,-0.119781814608723
8RDeFxWM,-0.354407726228237
8UXP2NBS,-0.485077305138111
8xE1p8g8,-0.429731994867325
8yMDVMRM,-0.432788047194481
8ZoV3KGT,-0.211617955192924
98R5VaPi,0.378077147901058
9DcTz2Ua,2.97339296340942
