PIDN,P
09gt9UK5,0.0654428971465677
0BVvxJ6a,-0.0120137407328002
0dTqplIM,-0.363288404047489
0KbdgApg,0.321501480869483
0lNiZicC,-0.422537734545767
0MnuuduB,0.190494732855586
0PcIsF9z,-0.56611304320395
0rGeJ0QN,-0.224916190421209
0ShTFLYJ,-0.454238742217422
0sXI9ytQ,-0.402432837896049
0ukt4aP6,-0.10250543996226
0XZh9jka,0.22661287561059
0Y7Wegri,2.36604516804218
1AGspb8f,-0.421713381633163
1arHxK3Y,0.320264147780836
1Csy0gvE,-0.0532732365652919
1fCW4Bba,-0.267425797320902
1Ic2hly1,0.250858197361231
1PPbaTwt,0.435329888388514
1qDZNvIm,-0.109693442378193
1SO5VJNy,0.0546454507857561
28LYJC2V,-0.234959793649614
2cx85d9H,0.181508672283962
2CzACvQq,1.25030991137028
2FT3crfv,-0.20509431494429
2Fy2uHVg,-0.359496728330851
2homMXMV,-0.413935172464699
2ldLrUtq,-0.287211140722502
2MkMEApm,-0.342298997286707
2NDGWEOe,0.965136553347111
2nsACW6G,-0.134976976690814
2NyyCiqn,-0.111429403163493
2QcbdrUZ,-0.37674764553085
2QRzIb84,0.209045926842373
2YgAimWK,-0.106007073909859
2yMbVnWc,0.0800632457248867
36r8sgGQ,-0.326971914339811
3fRLm8f5,-0.337229413958266
3mZhp1nQ,-0.455887139216065
3NXAXCl3,-0.0413234191015363
3pikJXRL,-0.118699292652309
3pxOEGHL,-0.316363847628236
3QG0z6fl,0.237530754320323
3ttdV3f5,-0.166163030080497
3v4X6Mfe,0.00568321663886309
3wORuPiv,-0.352825857046992
3WS8R9qm,2.18950013061985
43EfrxZj,-0.023268413846381
457Vwm21,1.24409811794758
46KNnOdx,-0.214099806407467
47TwNsVC,-0.0963466719724238
49856RpO,-0.297756352857687
4Ane1o2N,-0.421163625083864
4AyVUgSc,-0.187641340587288
4B1951On,-0.352390630356967
4eQ90eLY,0.752795269340277
4o5jwMj8,-0.208288906235248
4OL39Teo,0.0607895413879305
4vPgpl2c,-0.0854493401944637
51r9aA0d,-0.0289556093513966
58SmeRoP,0.10159433267545
5a8sf6QV,0.503751099901274
5eSvmqYm,-0.4097127975896
5HJp1AXn,0.200609836727381
5hkN8fiv,-0.589675184432417
5MBZW7fx,0.359443067014217
5Nq3gHaP,0.270446011773311
5oK8Gti5,-0.0645647667814046
5paniGaU,-0.0119015115778893
5RmwFFK3,1.25832343399525
5Tu5Jbov,-0.00663328943774104
5vsr7ZUP,-0.0758250946179032
5YEolkev,-0.685498696565628
60B4xMWI,-0.283435423020273
64jOUtKy,0.152327601611614
6AJo4xNG,0.326868105120957
6CAvhEte,0.202438589185476
6CuGYjT5,0.319150752946734
6DGH8ujZ,-0.339268501847982
6eUWsVzw,0.780842097755521
6gNyO7Do,0.34251718763262
6jT0AyHe,-0.135917873866856
6nBgCvWu,-0.29869627263397
6PzsGdVm,-0.0959070838056505
6ro5mqg6,-0.189154479419813
6sGqObX4,-0.404992280900478
6UcSJMbq,-0.168023079959676
6uEGy0n4,0.401244737394154
6WJbkH8U,-0.240504071302712
7aF7nnwn,-0.297413544775918
7asGzfX9,-0.511722959391773
7BZ4LxP8,-0.416015264485031
7cg7C92o,1.17395240962505
7CmigXKi,0.0951787542551756
7eOxTpsB,0.181441044714302
7ey0v7ma,0.253038955107331
7Ga0LpfR,0.471956013329327
7gocyrYl,0.137919711321592
7gqR3GoA,-0.338488134369254
7og7aUXB,-0.170890369452536
7onRfa8F,-0.0522699444089085
7PQsFvsG,-0.749700263887644
7umkNuxM,-0.210604205355048
7vPr9ExD,0.391304882243276
7zNjpCzu,-0.429901663959026
7ztsQNj3,0.0418946659192443
86gppwMI,-0.262022985855583
88thAGdL,0.426768741756678
8ajs2uG8,-0.347546119149774
8bXnz62p,0.00922067537903786
8GhU8STP,0.998481688648462
8NlzDcWe,-0.334619001857936
8nO1O1LG,2.97610982656479
8QAejdLW,0.981377497315407
8RDeFxWM,-0.167272902745754
8UXP2NBS,0.254448758787476
8xE1p8g8,0.0290259703993797
8yMDVMRM,-0.350216718949378
8ZoV3KGT,-0.393306383118033
98R5VaPi,0.254322564369068
9DcTz2Ua,0.240618093311787
9G7nfUrK,-0.526626646518707
9iQwmFJR,0.0494651144370437
9O6GZ1HT,-0.15884344112128
9S7fCoAM,-0.49279869236052
A3Mt6SAQ,0.0305133981630206
a7bhJGBU,-0.0324297185987234
AaFvEoHq,0.440827399678528
abCzN1zx,-0.511289232689887
ae7sMiB4,-0.400452042371035
afsVuCGV,-0.160367195878644
aHpv6KzP,0.656385079026222
AiIPD6hX,-0.112176947647822
aINzEBVN,-0.649745509028435
aiwBQETI,0.10350927747786
aiyli4EI,1.33588543962687
AJIsQIcV,-0.213408851763234
AMHKXMh8,1.05876755341887
aP9EtTGF,-0.153226571530104
apJ7NmzD,0.40804080888629
AsIURvJS,0.183251038426533
AsvgbJ0C,-0.519168879976496
ASwA2J4E,-0.0219175743346568
atVjNMtQ,-0.222242510505021
aV6EhtSL,-0.175543852057308
aVZsXKoH,-0.0362511349689157
AxEhbkCM,-0.453667967487127
aYVnVJvc,0.61648807246238
b5GirVGV,-0.256934478320181
B7VPkIpx,-0.294218369014561
b9SpMjNB,-0.0127187550999224
bAFs37yy,-0.226833939505741
bat8tcGs,-0.412087762355804
BBwHqHiH,0.0895528621971607
bDia1hHV,-0.155195021349937
bfjej4wu,-0.0683992578648031
bFkv5Mtr,-0.225724897149485
bh04YDiP,-0.150380676612258
bHe2IXgA,-0.243961634486914
BMyps8hr,-0.41016870290041
BUHS4dQw,0.580935265496373
bWX3vUm5,0.142322563193738
BZB3EYWQ,0.1296174722258
c110Fdc8,-0.30482669249177
c32GUzMa,-0.39311605761759
C5gIfQbJ,-0.218093671649694
C5UPCZcL,-0.14300749162212
CDRuu4Pn,-0.169808340631425
ceNvS3yd,-0.405518575757742
ChnD1nrN,-0.411897917464375
ChQdtl4J,0.170056543406099
cmwdt4Av,1.65831048488617
cn4EHsup,-0.441918990761042
CQhTYkqE,2.17231109440327
crVOGGTT,-0.285323653742671
CSEobMXv,0.199772958271205
csPEJ1E5,-0.314820682816207
cT6uU0B0,-0.0672848639078438
CvtbbIcq,0.246299154800363
cWXCiFwh,-0.345153725869022
Cxk06b77,1.24279209822416
CYMQE4x0,0.30353251628112
d0UrRtMk,-0.366501910425723
D3QD3ZEJ,-0.0750668815337121
d6LU4G4I,-0.101259525824571
d74T1DVv,-0.392497554793954
D8J5C6lA,3.25248729586601
DCeQwYfT,-0.191753390990198
DDEftkx3,0.112540990347043
de43ycXY,-0.272774115373613
DEwCfeDW,0.534769845800474
dfIn7m9z,-0.314314518496394
dhmb9ZY9,0.330839821137488
DMkIV4oL,-0.199720865680138
dn8kCuyf,-0.0516536309791263
DnzGfbxS,-0.316028073243797
DoZxo6f6,0.0594961953480379
dpcquvWW,-0.208240657794522
dqcbIMyr,-0.351343131065369
dR6rM1tQ,-0.524195042997599
drWgsBf5,0.760086627677083
dUnlyhj7,-0.0781195641960949
dUNxOoqg,-0.118376882234588
dVDlnZQ6,-0.516556208953261
DvhBPGIk,-0.427115758508444
dVT26GDu,-0.397889703139663
Dx7GoUcT,-0.263759831828065
dytx0HSe,0.0866597228683531
e4KkkIha,0.554929556231946
E5hIjohO,0.903785494342446
E6x4XGHt,0.210407431051135
e9YorH4m,-0.803363646566868
eaIwb3rG,0.731456523574889
eB9gVQ0R,0.793951326608658
EDEpAzh1,-0.265445477120375
Ehw2Jz6s,-0.338038190826774
EjqzC4zH,-0.0377311028540134
EkMZO3Qj,-0.111947655119002
eMhLFqU6,-0.408460213802755
eMllg1qm,0.315008669160306
EnoNXWvU,-0.336480746418238
eNPunZ9i,-0.321147247590125
Epv8ANwr,-0.20255051413551
eS5BSM4J,-0.166652566517587
ETGudkQt,-0.22665579393506
Etro9j0B,1.01616967384471
EUleKrLJ,0.21715585575439
eVGMFoOI,-0.530936548858881
eyzw8Vis,0.856453682063147
f04Ke2bN,-0.301502989861183
F3MIZj76,-0.624453049898148
f4GA0te1,-0.375694704055786
f7bd91h5,-0.266733140219003
favPNA2N,0.211869272682816
FaW764jk,0.660604220628738
fB7z9ndr,0.713147307187319
FB8tU00K,-0.288157822657377
FeAbMXly,-0.258627670444548
fEe7AWFA,-0.30751765826717
FeudaFXn,0.813596879225224
fJJIbgY9,0.658777871355414
FldUmFeM,-0.406856224685907
FLhxBGMK,-0.522726580500603
Fnv5tfAm,-0.417959151614923
fQBURMvg,0.113525136765747
FRreR8ka,0.130554105900228
fS0HpOub,-0.0949809573066887
fTDXauuk,-0.536733089387417
FvrAd3Or,-0.291642016608966
FXne4oAV,0.06221551860217
g3Fv0U4k,-0.264763707923703
G48zHffi,-0.0361758180137258
g5PKo2E2,0.728811088576913
G76zCv5N,-0.399042526166886
G7JGUdNf,1.02946892939508
gbjnD5fe,-0.351671961508691
GCo6MONx,0.222838635044172
GE0vbpVQ,-0.241223539062776
ge9zqXCv,0.0249189144000411
geeqJpSE,-0.254994724970311
GemPjTJ9,-0.0161280320957303
GkLYRm1K,0.746220948547125
GmlqP8eI,-0.463440673798323
GN0DfOqt,-0.691902290284634
GNsTAb1v,-0.33056849706918
GPwmO21z,-0.490334230288863
GqkIrOvf,-0.113754060945939
gqy1J2RS,-0.141006106138229
GQYpfLoh,1.16949153989553
GR9knT8n,-0.728691655397415
grlUtS3H,-0.560767558217049
gx965KYj,0.126481026783586
GXtFFbZy,0.18873350713402
GYvzvvFD,-0.367637113109231
H0fsegPi,-0.395891028689221
h3F08Vjm,-0.407120358664542
H4dHpJjU,1.88290317356586
H5QwJCuU,2.03094996511936
H5uwmSZ0,-0.660475461930037
h6FQG8Iy,0.449279271997511
h7ftM8b3,0.792951143532991
H8MtbVoL,0.868194408831187
H9JrUYnp,0.153861232567579
HdKcxEWr,0.536581731191836
HecW1iCC,-0.359706280101091
hf65yZkM,1.73239571154118
HHYmmHVk,-0.240882337838411
HJ5U4uqL,-0.373842217028141
hjuwe1x4,-0.611004503071308
hLrCHXZv,1.35719747543335
HNQxYc4w,-0.250162739027292
HpbKB8rv,0.125690155290067
hQ6VBuFx,1.10446175783873
HQYhKHZ8,-0.145305021153763
HrkoYjCg,1.32720504105091
HSCMx0MC,-0.0291185962036252
HXYuE0fx,0.994394133519381
hyINlsFR,2.23664273619652
hYoR2y7w,-0.190780674293637
i0Qlm9Bv,-0.0251058994734194
i1VxfxMb,-0.136160927545279
i2l6jXNP,-0.277170835062861
i4FgPZv7,-0.171708730608225
I5P2uquT,-0.102624364173971
i7XtIkSi,-0.388256013765931
I94qkDM7,-0.309882474690676
I9sQbtt8,0.0985991338267922
i9z346Ut,-0.162099416740239
Iaq3v0t3,0.49163550613448
IbVwu1t6,-0.417470391653478
IcHKTLyo,0.661537982150912
iDOat4cZ,1.06711423024535
ieTPaa3c,-0.413342440454289
if7BmzU0,-0.274987956043333
IFxgw6ZX,-0.265484938770533
ihNz5bmx,-0.50273996219039
ikJXKdIN,-0.550627167895436
iNv6RoSO,-0.0723095959052444
IPPPSyoU,-0.344663032144308
IpW80wVB,-0.388558167871088
iq2kxikN,-0.36970290672034
IQOYQubU,0.414404303301126
iSL9NYzy,0.160368064418435
iSqVc1r8,-0.125436810124666
Itb0PYUV,0.948525561392307
iuZEDJK7,-0.322834059223533
iyF8gVT7,0.0772373951971531
IYNE2SxU,-0.274718640837818
iYZMftt6,-0.488536404073238
IZRFk9kN,-0.373497677594423
j06qdQ0V,0.250878270837711
j7hl8svO,-0.455442862585187
J8fpSwS0,0.0997205694206059
j8hMoJUN,-0.526472253166139
JcE9G92B,1.29768887795508
JE1SlbD0,1.90781154632568
JEB4McNb,-0.267159755900502
JEE4QVeQ,-0.499606736749411
JJSEU2VQ,0.182116558682173
jNaFasbV,-0.600567249953747
JnNYpXHr,2.07054202258587
JSsVriP2,-0.569553396850824
juO5ii5l,0.297836675681174
JUvQNiOK,0.190490036236588
jVVHeYHT,0.15955657735467
jXm4ySvK,0.0980291088228114
JZbrRtm2,-0.342223917949013
JzpbnOtz,0.754198086820543
JzzUhPQp,0.580669244751334
K05R8dQK,-0.482022958248854
K17pG2mG,-0.26240020878613
k2hdEBsU,-0.0692433930933476
k3ynMfhN,0.334302566107363
K8BellUe,-0.523240707814693
k9C9yBtr,1.9286547511816
kAKRvcRo,-0.284850545879453
kaW0TfRn,-0.255640901019797
kBi3R2oC,-0.567880185693502
kDWmnsXe,-0.163189321011305
KJ2eH6rr,-0.159612809494138
KJEJ6Glk,1.18900889977813
KmbAyTcE,-0.327795312646776
kmg3SowO,-0.498781679943204
KnNyl3rV,-0.0426014022901654
Kp2DG8TZ,-0.132983701094054
kpxKSlnF,0.349784893525066
KqQtKWs5,-0.489747178182006
KSbO0oXS,2.91343611478806
kSGBd2Vh,-0.271606031153351
kT0miHPT,-0.114263713732362
Ku27g63R,1.87920068502426
ku2cn1MV,0.201042736135423
KXtvmd01,-0.300857099331915
KYiJqBuJ,-0.352787587791681
l1su5HU9,-0.279303241893649
L2aTVqDq,-0.412080456037074
L5jvq6G4,-0.213571305945516
l8Tg2RvD,0.000586132891476154
L91hYVQl,-0.653128230571747
La2Vhnne,2.56368728578091
LaUWSq9B,-0.67326449137181
lB6NsVOc,-0.406924436613917
lcOnCdZi,-0.158309812890366
le9YGwON,0.00530397093389183
lEcdVyKk,0.107383008254692
lH4TasGl,-0.352396791800857
LINAMlbA,-0.361089770682156
LJoUNXSx,-0.482106075808406
Lk4SfkPQ,-0.33612010423094
LllC836d,-0.21507464107126
llMvu3TX,-0.0171996909193695
LLtSiyWD,-0.419470044597983
lnHh2jFO,-0.317343647219241
lO9aggHW,-0.45566481044516
LQJtV8kn,0.341523377969861
LuGiGeWN,-0.208787602365192
lW3m9Vzu,0.0811212705797516
LW9uddw7,0.617999722622335
lYLseGDP,-0.565346086770296
LZ6sdBTR,2.7990736246109
LzcyHcWa,-0.0495580910472199
m07CVXd4,0.0972287797136232
m1lPk91z,-0.224899074528366
M7veP0H4,-0.352891647396609
m9IQdmwa,-0.216652728617191
MB8aaJUc,-0.480447102710605
mbzNdxNc,-0.154002194968052
Mdgy4SsO,1.42187548391521
MDpe2zuy,-0.192788351140916
MEzdmEIU,-0.295509315654635
mG9BRy5x,0.34420650023967
Mj8awnzy,-0.251652390882373
mntH7g3L,-0.148075347952545
MpFPbUJy,0.665968824923038
Mqk7MFBM,-0.609065899252892
Mqs2t1Eo,-0.20238640983589
msRTXP3H,-0.252995515305702
Mv3jFVxp,-0.221591645292938
mVHXnama,-0.573922038078308
MVnhtivm,-0.185353852901608
mxBjvIPR,0.2854456637986
MxODTXvA,-0.439290286647156
mXyrR6nU,0.108074200060219
MYU7WDis,0.248340814188123
MZFqh6yw,0.0195099669974297
N46PbpPM,-0.341578813269734
N5S5F9Gk,-0.267477612569928
n8Opmfbz,0.732418635487556
NaJo7C6o,0.523916352912784
NgsyGkrO,0.0929796438198537
nhttf7VM,2.31190408468246
njLbXYa3,-0.417026979848742
NjOx4Zpo,-0.113263488188386
NLDg5fqw,-0.66390179246664
NmQoI7x0,0.1398688421119
No4wkdLS,-0.601887333020568
NOho2ZiM,0.301010074093938
nOkgU29Q,0.0445436016656458
NouMwhOf,-0.0135759752243757
NUuY7PFU,0.755348413437605
NV1e8AEO,-0.0151176455663517
nwkIpzmh,0.215933164581656
nzB1R9Zg,-0.310737083852291
NZLXROKC,-0.0282787658274174
o1rZRI84,-0.0757191342301667
O6YAWd8C,-0.109988084924407
o7q5Mbty,-0.423981699720025
OAXVphSh,0.100557243078947
ob5Kb6dW,0.0688130926340818
obnzqs79,-0.504429477825761
OcBFW1AX,0.0650382149964571
oCBvysqB,-0.383355680853128
oDmycTPH,-0.609988297894597
Of9V2rpt,-0.385035728290677
oFAXZvQv,-0.112517770659178
OfLxPhbG,0.106073805317283
oHE3M1zX,0.0574462444754317
OJBBhb6Q,-0.327519610902527
Ojx2vi48,-0.41445534536615
oMhVmSpV,-0.634382313489914
oncLcgRP,-0.246893862634897
oNsDqVbi,0.845298904180527
ooWVYaAe,-0.432504366710782
osdyOUnV,-0.10176191861392
OSIQXImL,0.471928795892745
OUUFc5Zz,-0.179210939956829
OVk1lquT,1.22289679218084
OXdRxjzz,-0.538631947338581
OXxW2ekf,0.0635463343001902
OXz5OpqR,1.22600031346083
oYAJqQk8,-0.455210965871811
P3M32iuT,-0.603261525928974
p7H9CzCv,0.212088138610125
P7olVzrO,-0.123996741324663
p7U9hVhY,0.026457659015432
PAPHErnv,-0.301626615971327
pavfp3cc,0.688655900384765
PBjEtfXb,0.0112069517374039
pbQdC5L3,-0.303682375513017
Pc2RrxXS,-0.364498941868078
PcHQ4FOu,-0.034597174776718
pE6Cf1RV,0.484757346194237
PeNyTOVN,-0.300964408135042
pgj7aAFP,0.0190975413657725
PhUPSU53,-0.384583410900086
pI7qzotI,0.188087308453396
pJrIA4sk,-0.301898659986909
PmUNeV2O,-0.523834197036922
PoDJ0uvK,3.36359721422195
PsUJdJdg,0.224385817628354
pxg8G3ed,1.46638539284468
pXne2CLZ,0.56011992059648
PZGpoBBj,0.353367902769241
pZMcDIOS,-0.183763464726508
