PIDN,pH
09gt9UK5,-0.888701394200325
0BVvxJ6a,0.773413958866149
0dTqplIM,0.783274053037167
0KbdgApg,-0.0551823585294187
0lNiZicC,-1.31342740058899
0MnuuduB,-0.147773810103536
0PcIsF9z,-1.49207348227501
0rGeJ0QN,-0.787081733345985
0ShTFLYJ,-0.708837199211121
0sXI9ytQ,-0.742383863031864
0ukt4aP6,1.70317516326904
0XZh9jka,0.736365069448948
0Y7Wegri,0.434392757341266
1AGspb8f,-1.06385485231876
1arHxK3Y,1.85247212648392
1Csy0gvE,0.488484125584364
1fCW4Bba,0.11730619603768
1Ic2hly1,0.813251139223576
1PPbaTwt,-0.374451145902276
1qDZNvIm,-0.744035321474075
1SO5VJNy,-0.14332812554203
28LYJC2V,-0.948358631134033
2cx85d9H,-0.445227099210024
2CzACvQq,2.00894551277161
2FT3crfv,0.63587493780069
2Fy2uHVg,-0.652236378192902
2homMXMV,-1.12821317315102
2ldLrUtq,0.873541596531868
2MkMEApm,0.225639959890395
2NDGWEOe,1.50687891542912
2nsACW6G,-0.453159663639963
2NyyCiqn,-0.343239348754287
2QcbdrUZ,0.0407735469285399
2QRzIb84,2.09612084031105
2YgAimWK,0.470475827902555
2yMbVnWc,-0.966940331459045
36r8sgGQ,-0.161175410542637
3fRLm8f5,-0.910709528625011
3mZhp1nQ,-0.31288518384099
3NXAXCl3,-0.396598177775741
3pikJXRL,-0.491221552249044
3pxOEGHL,-0.375421203672886
3QG0z6fl,-0.748370036482811
3ttdV3f5,-0.554647450149059
3v4X6Mfe,2.27405415773392
3wORuPiv,-0.0863666025456041
3WS8R9qm,0.561204142868519
43EfrxZj,0.172525913268328
457Vwm21,0.251713406667113
46KNnOdx,-1.00813382863998
47TwNsVC,-0.383477324619889
49856RpO,-0.750604788959026
4Ane1o2N,-0.218626927211881
4AyVUgSc,-0.404949793592095
4B1951On,0.412892372719944
4eQ90eLY,0.522337042540312
4o5jwMj8,-0.558105733245611
4OL39Teo,0.249646806810051
4vPgpl2c,-0.285427908971906
51r9aA0d,0.0957945407368243
58SmeRoP,-0.028681830689311
5a8sf6QV,0.483165525086224
5eSvmqYm,-0.103048154897988
5HJp1AXn,-0.384181098267436
5hkN8fiv,-1.30229497849941
5MBZW7fx,1.31164063513279
5Nq3gHaP,0.695385727286339
5oK8Gti5,-0.406052154209465
