PIDN,P
09gt9UK5,0.173214288172312
0BVvxJ6a,-0.114145840797573
0dTqplIM,0.168082947283983
0KbdgApg,-0.322831435617991
0lNiZicC,-0.406253875279799
0MnuuduB,-0.17158287204802
0PcIsF9z,-0.31933529227972
0rGeJ0QN,-0.151559706340231
0ShTFLYJ,-0.402480056416243
0sXI9ytQ,-0.0851287873461843
0ukt4aP6,0.603046292252839
0XZh9jka,-0.636778062582016
0Y7Wegri,2.69391291737556
1AGspb8f,-0.358612064272165
1arHxK3Y,1.76836272776127
1Csy0gvE,0.694475328177214
1fCW4Bba,0.524018051289022
1Ic2hly1,0.23750159163028
1PPbaTwt,0.309373828209937
1qDZNvIm,-0.23627390419133
1SO5VJNy,0.261634465398674
28LYJC2V,-0.0159969755448401
2cx85d9H,-0.278333354694769
2CzACvQq,0.623480850830674
2FT3crfv,0.0572547202929854
2Fy2uHVg,-0.055765103828162
2homMXMV,-0.168627990433015
2ldLrUtq,0.000410253182053566
2MkMEApm,0.238068799022585
2NDGWEOe,0.941672626137734
2nsACW6G,-0.410275126248598
2NyyCiqn,0.195643158210441
2QcbdrUZ,-0.297323486581445
2QRzIb84,1.54626848697662
2YgAimWK,0.234633288369514
2yMbVnWc,-0.0764938956708647
36r8sgGQ,-0.156739105959423
3fRLm8f5,-0.262758689001203
3mZhp1nQ,-0.450157422572374
3NXAXCl3,-0.620793005824089
3pikJXRL,-0.527148552238941
3pxOEGHL,-0.222115630283952
3QG0z6fl,0.332094308640808
3ttdV3f5,1.05644863694906
3v4X6Mfe,-0.0899085266719339
3wORuPiv,1.06092103123665
3WS8R9qm,-0.334587347507477
43EfrxZj,0.61991196423769
457Vwm21,1.42279861569405
46KNnOdx,-0.141847216535825
47TwNsVC,-0.416324417293072
49856RpO,-0.372202590666711
4Ane1o2N,-0.219343500211835
4AyVUgSc,-0.205910813936498
4B1951On,-0.0476020709611475
4eQ90eLY,2.54525114297867
4o5jwMj8,0.06354636028409
4OL39Teo,1.10944974273443
4vPgpl2c,0.0440527337603271
51r9aA0d,-0.437546150758862
58SmeRoP,0.153386087436229
5a8sf6QV,-0.285309134237468
5eSvmqYm,-0.117810108326375
5HJp1AXn,0.379967415705323
5hkN8fiv,-0.289220134727657
5MBZW7fx,-0.078626398043707
5Nq3gHaP,1.47190462052822
5oK8Gti5,0.344429241120815
5paniGaU,-0.169881926116068
5RmwFFK3,0.8295340500772
5Tu5Jbov,0.0839864240027964
5vsr7ZUP,-0.0198066100943834
5YEolkev,-0.299053051508963
60B4xMWI,0.326841269060969
64jOUtKy,-0.0723851551883854
6AJo4xNG,0.0970828966703266
6CAvhEte,0.00770888617262244
6CuGYjT5,0.136098378710449
6DGH8ujZ,-0.357224724069238
6eUWsVzw,0.428647479042411
6gNyO7Do,-0.25551370177418
6jT0AyHe,0.166987338359468
6nBgCvWu,-0.105448647239245
6PzsGdVm,-0.132002696581185
6ro5mqg6,-0.178317019657698
6sGqObX4,-0.322626551613212
6UcSJMbq,1.09969579577446
6uEGy0n4,0.639954481460154
6WJbkH8U,-0.353733168815961
7aF7nnwn,-0.157962084561586
7asGzfX9,-0.0830045516602695
7BZ4LxP8,-0.38467373624444
7cg7C92o,0.267235799692571
7CmigXKi,-0.176701856544241
7eOxTpsB,0.00725278975432957
