PIDN,Ca
09gt9UK5,-0.525722911953926
0BVvxJ6a,0.46455576941371
0dTqplIM,-0.0242166399053531
0KbdgApg,-0.059020970624988
0lNiZicC,-0.4521250218153
0MnuuduB,-0.313313587382436
0PcIsF9z,-0.288839000836015
0rGeJ0QN,-0.396744578331709
0ShTFLYJ,-0.423010709881783
0sXI9ytQ,-0.458470148593187
0ukt4aP6,0.427098298817873
0XZh9jka,-0.220878663240001
0Y7Wegri,-0.275961299985647
1AGspb8f,-0.385929895937443
1arHxK3Y,0.496949262917042
1Csy0gvE,-0.411186119914055
1fCW4Bba,-0.453698547184467
1Ic2hly1,-0.444200889766216
1PPbaTwt,-0.411718757450581
1qDZNvIm,-0.470957718789577
1SO5VJNy,-0.297232388705015
28LYJC2V,-0.389261224865913
2cx85d9H,0.139011387410574
2CzACvQq,0.18320373618044
2FT3crfv,-0.254462300240993
2Fy2uHVg,-0.453031754493713
2homMXMV,-0.311508987098932
2ldLrUtq,-0.440308497846127
2MkMEApm,-0.403968034684658
2NDGWEOe,0.164933782815933
2nsACW6G,-0.336984242126346
2NyyCiqn,-0.340495425462723
2QcbdrUZ,-0.398607784509659
2QRzIb84,0.0438548309262842
2YgAimWK,-0.376356925070286
2yMbVnWc,-0.408745034039021
36r8sgGQ,-0.381753291189671
3fRLm8f5,-0.223603871837258
3mZhp1nQ,-0.465888714790344
3NXAXCl3,-0.307706600893289
3pikJXRL,-0.284776579588652
3pxOEGHL,-0.447944347560406
3QG0z6fl,-0.480870158970356
3ttdV3f5,-0.317101748660207
3v4X6Mfe,1.24765865802765
3wORuPiv,-0.414659237861633
3WS8R9qm,-0.207830219063908
43EfrxZj,-0.00317511810571887
457Vwm21,0.105763287469745
46KNnOdx,-0.48142566382885
47TwNsVC,-0.334292612224817
49856RpO,-0.30700737722218
4Ane1o2N,-0.387172535061836
4AyVUgSc,-0.42142413854599
4B1951On,-0.170842515677214
4eQ90eLY,-0.105252741044387
4o5jwMj8,-0.44785498380661
4OL39Teo,-0.0469224876374938
4vPgpl2c,-0.409326756000519
51r9aA0d,-0.455797144770622
58SmeRoP,-0.231163660809398
5a8sf6QV,-0.00953371315263212
5eSvmqYm,-0.412180961668491
5HJp1AXn,-0.458059752732515
5hkN8fiv,-0.210443683713675
5MBZW7fx,-0.12556908307597
5Nq3gHaP,0.234067631140351
5oK8Gti5,-0.465874779224396
5paniGaU,-0.478876486420631
5RmwFFK3,0.310081077786163
5Tu5Jbov,-0.479646557569504
5vsr7ZUP,0.575738321244717
5YEolkev,-0.450237455964088
60B4xMWI,-0.333008125424385
64jOUtKy,0.0787430743337609
6AJo4xNG,-0.47988028973341
6CAvhEte,-0.445116725564003
6CuGYjT5,2.82013440132141
6DGH8ujZ,-0.299453278630972
6eUWsVzw,0.542688693106175
6gNyO7Do,0.137305346690118
6jT0AyHe,-0.0800004347995127
6nBgCvWu,-0.467896935343742
6PzsGdVm,-0.192429661378264
6ro5mqg6,-0.239199353009462
6sGqObX4,-0.549087631702423
6UcSJMbq,-0.325641117244959
6uEGy0n4,1.12179503440857
6WJbkH8U,1.0285933047533
7aF7nnwn,-0.495768584311008
7asGzfX9,-0.224215273372829
7BZ4LxP8,-0.216920680738986
7cg7C92o,-0.173731306614354
7CmigXKi,-0.476999045908451
7eOxTpsB,-0.383808007091284
7ey0v7ma,-0.354670358449221
7Ga0LpfR,0.00666494378820062
7gocyrYl,-0.312372366338968
7gqR3GoA,-0.395630769431591
7og7aUXB,-0.239654681459069
7onRfa8F,0.161754933092743
7PQsFvsG,-0.307270870730281
7umkNuxM,-0.153990554763004
7vPr9ExD,0.00423653787001967
7zNjpCzu,-0.384371170401573
7ztsQNj3,-0.374587015807629
86gppwMI,-0.545508040487766
88thAGdL,-0.40217904150486
8ajs2uG8,-0.3496068790555
8bXnz62p,-0.241950113000348
8GhU8STP,0.531293271481991
8NlzDcWe,-0.419952175021172
8nO1O1LG,1.27325260043144
8QAejdLW,-0.0961270718835294
8RDeFxWM,-0.365264837443829
8UXP2NBS,-0.466887305676937
8xE1p8g8,-0.413087812066078
8yMDVMRM,-0.357972282916307
8ZoV3KGT,-0.231675074249506
98R5VaPi,0.313544107740745
9DcTz2Ua,2.11970281600952
9G7nfUrK,-0.284919724147767
9iQwmFJR,-0.422183403372765
9O6GZ1HT,-0.141813838854432
9S7fCoAM,-0.438172481954098
A3Mt6SAQ,1.37622272074223
a7bhJGBU,1.60749168395996
AaFvEoHq,-0.41367896348238
abCzN1zx,-0.394842609018087
ae7sMiB4,-0.21114451168105
afsVuCGV,-0.331947654485703
aHpv6KzP,2.80982394218445
AiIPD6hX,-0.137016280647367
aINzEBVN,-0.294857982546091
aiwBQETI,0.125198839791119
