PIDN,P
09gt9UK5,0.202856803592294
0BVvxJ6a,0.202339253183454
0dTqplIM,0.0709990224480862
0KbdgApg,0.0977821648260579
0lNiZicC,-0.397072745710611
0MnuuduB,-0.24641194421798
0PcIsF9z,-0.310614793412387
0rGeJ0QN,-0.0708633173244016
0ShTFLYJ,-0.551725914999843
0sXI9ytQ,-0.0892917710216716
0ukt4aP6,0.362428323067725
0XZh9jka,-0.473448409026023
0Y7Wegri,2.42902049452066
1AGspb8f,-0.140084608384059
1arHxK3Y,0.659961652467027
1Csy0gvE,0.672773334691301
1fCW4Bba,0.33874100829591
1Ic2hly1,0.236188597469591
1PPbaTwt,0.679128320049495
1qDZNvIm,-0.205939192706719
1SO5VJNy,0.255008722115308
28LYJC2V,-0.0271913302969187
2cx85d9H,0.518234017291106
2CzACvQq,1.0039461748302
2FT3crfv,-0.166362163312733
2Fy2uHVg,-0.171342549039982
2homMXMV,0.050860632363474
2ldLrUtq,-0.231402997695841
2MkMEApm,0.196975038070232
2NDGWEOe,0.0797738440020476
2nsACW6G,0.0222353961877525
2NyyCiqn,0.284099912126549
2QcbdrUZ,-0.375697074010968
2QRzIb84,2.19248743236065
2YgAimWK,0.275935172741301
2yMbVnWc,0.0702588032092899
36r8sgGQ,-0.260893147904426
3fRLm8f5,-0.19835812878795
3mZhp1nQ,-0.460886952280998
3NXAXCl3,-0.550098375827074
3pikJXRL,-0.427263887599111
3pxOEGHL,-0.238648203536868
3QG0z6fl,0.496917230524123
3ttdV3f5,0.75707595363725
3v4X6Mfe,-0.092700434261933
3wORuPiv,0.607813565572724
3WS8R9qm,-0.424545914558694
43EfrxZj,-0.0655863095773384
457Vwm21,1.68701093107462
46KNnOdx,-0.0905188988236478
47TwNsVC,0.00396618405357003
49856RpO,-0.376673383321613
4Ane1o2N,-0.135389318325324
4AyVUgSc,-0.526908952044323
4B1951On,-0.21715843479149
4eQ90eLY,2.14739924609661
4o5jwMj8,-0.149363098968752
4OL39Teo,0.426370549537241
4vPgpl2c,-0.254928498941008
51r9aA0d,-0.334565665023401
58SmeRoP,0.404125850184355
5a8sf6QV,0.530525922831148
5eSvmqYm,0.186340085258707
5HJp1AXn,0.154399936117115
5hkN8fiv,-0.268298005843535
5MBZW7fx,0.0913613900635391
5Nq3gHaP,1.14481341898441
5oK8Gti5,0.308551734378561
5paniGaU,-0.160513205199968
5RmwFFK3,1.79953809630126
5Tu5Jbov,0.00300482616876252
5vsr7ZUP,0.207596325601917
5YEolkev,-0.224493258991861
60B4xMWI,0.408079729601741
