PIDN,P
09gt9UK5,0.196029330324382
0BVvxJ6a,0.132503953855485
0dTqplIM,0.0704188444651663
0KbdgApg,0.108471921202727
0lNiZicC,-0.408776450809091
0MnuuduB,-0.237518396787345
0PcIsF9z,-0.300788830593228
0rGeJ0QN,-0.112332926958334
0ShTFLYJ,-0.525113277882338
0sXI9ytQ,0.0640523107489571
0ukt4aP6,0.552861490659416
0XZh9jka,-0.491329758614302
0Y7Wegri,2.05199991762638
1AGspb8f,-0.145523734018207
1arHxK3Y,0.61805219615344
1Csy0gvE,0.616054164990783
1fCW4Bba,0.237190673314035
1Ic2hly1,0.180829167622142
1PPbaTwt,0.633345712721348
1qDZNvIm,-0.168164915544912
1SO5VJNy,0.207461837865412
28LYJC2V,-0.0314407235127874
2cx85d9H,0.555885000526905
2CzACvQq,0.798194347321987
2FT3crfv,-0.164581252448261
2Fy2uHVg,-0.228616804815829
2homMXMV,0.0710436093620956
2ldLrUtq,-0.31818446945399
2MkMEApm,0.191679782420397
2NDGWEOe,0.0255153818055987
2nsACW6G,-0.0160590965882875
2NyyCiqn,0.279235655674711
2QcbdrUZ,-0.26010012421757
2QRzIb84,2.06187984347343
2YgAimWK,0.269589830795303
2yMbVnWc,0.0770232693757862
36r8sgGQ,-0.23598959047813
3fRLm8f5,-0.19685217551887
3mZhp1nQ,-0.459650640562177
3NXAXCl3,-0.615151791274548
3pikJXRL,-0.555085011385381
3pxOEGHL,-0.263465332053602
3QG0z6fl,0.593268088949844
3ttdV3f5,0.625201077386737
3v4X6Mfe,-0.133897113986313
3wORuPiv,0.566677686199546
3WS8R9qm,-0.308496607560664
43EfrxZj,-0.0413582906476222
457Vwm21,1.45604941695929
46KNnOdx,-0.0940312666178215
47TwNsVC,-0.0430859189713374
49856RpO,-0.360770401917398
4Ane1o2N,-0.129309989430476
4AyVUgSc,-0.582889884710312
4B1951On,-0.125957491993904
4eQ90eLY,2.04741360545158
4o5jwMj8,-0.0929704265319742
4OL39Teo,0.434563968144357
4vPgpl2c,-0.296903993934393
51r9aA0d,-0.399756314605474
58SmeRoP,0.548251430317759
5a8sf6QV,0.488304545730352
5eSvmqYm,0.100035510706948
5HJp1AXn,0.177775664185174
5hkN8fiv,-0.28162589436397
5MBZW7fx,0.107392609398812
5Nq3gHaP,1.05627618283033
5oK8Gti5,0.286585228890181
5paniGaU,-0.188693371298723
5RmwFFK3,1.77303435504437
5Tu5Jbov,0.0152645565918647
5vsr7ZUP,0.135087137436494
5YEolkev,-0.265333330817521
60B4xMWI,0.296286608371884
64jOUtKy,0.22145484671928
6AJo4xNG,0.496945891156793
6CAvhEte,0.294285441562533
6CuGYjT5,-0.0210482023656368
6DGH8ujZ,-0.361289642751217
6eUWsVzw,0.485031282529235
6gNyO7Do,0.663785433024168
6jT0AyHe,-0.125354613270611
6nBgCvWu,-0.117761161364615
6PzsGdVm,-0.0968404518906027
6ro5mqg6,-0.147026976523921
6sGqObX4,-0.347269634902477
6UcSJMbq,0.859381207078695
6uEGy0n4,0.0751063739822712
6WJbkH8U,-0.207662217691541
7aF7nnwn,-0.336324197810609
7asGzfX9,-0.123346703546122
7BZ4LxP8,-0.41360954977572
7cg7C92o,0.278803399391472
7CmigXKi,-0.0832181478384882
7eOxTpsB,0.167533062957227
7ey0v7ma,-0.373291949555278
7Ga0LpfR,0.551101658865809
7gocyrYl,-0.0323103666421957
7gqR3GoA,-0.338902091514319
7og7aUXB,0.773242746293545
7onRfa8F,-0.0575008647050709
7PQsFvsG,-0.0936553034000099
7umkNuxM,-0.17118572331965
7vPr9ExD,0.229743767809123
7zNjpCzu,-0.114759392803535
7ztsQNj3,0.566681554727256
86gppwMI,-0.260843518073671
88thAGdL,0.532100824825466
8ajs2uG8,-0.346103727072477
8bXnz62p,-0.247793838195503
8GhU8STP,1.27969628274441
8NlzDcWe,-0.53077889457345
8nO1O1LG,3.11421288251877
8QAejdLW,0.0907688375562429
8RDeFxWM,-0.174580414965749
8UXP2NBS,0.129796140640974
8xE1p8g8,0.967592744529247
8yMDVMRM,-0.415151539072394
8ZoV3KGT,-0.420132537186146
98R5VaPi,0.893708687648177
9DcTz2Ua,-0.202267430326901
9G7nfUrK,-0.0617463340982795
9iQwmFJR,-0.0960307271685451
9O6GZ1HT,1.31167404651642
9S7fCoAM,-0.203780329343863
A3Mt6SAQ,-0.238443623669446
a7bhJGBU,0.0748881435953081
AaFvEoHq,-0.262217592191882
abCzN1zx,-0.36535871103406
ae7sMiB4,0.137392872825149
afsVuCGV,-0.0840923103067325
aHpv6KzP,0.206902963109314
AiIPD6hX,0.496884788118768
aINzEBVN,-0.427680030651391
aiwBQETI,-0.1059644642286
aiyli4EI,1.69984172284603
AJIsQIcV,-0.0876373676816002
AMHKXMh8,0.80319224819541
aP9EtTGF,-0.228866636566818
apJ7NmzD,0.237508100271225
AsIURvJS,-0.0240674276836216
