PIDN,P
09gt9UK5,0.0255319764139131
0BVvxJ6a,0.11434904364869
0dTqplIM,0.0710617382079363
0KbdgApg,-0.279342710692435
0lNiZicC,-0.3402628372045
0MnuuduB,-0.320581984706223
0PcIsF9z,-0.314450440183282
0rGeJ0QN,-0.0204401157883694
0ShTFLYJ,-0.613104754686356
0sXI9ytQ,-0.104381890455261
0ukt4aP6,-0.100774695258588
0XZh9jka,-0.406835516728461
0Y7Wegri,4.24635097980499
1AGspb8f,-0.164810252934694
1arHxK3Y,0.818445320427418
1Csy0gvE,0.765569573640823
1fCW4Bba,0.623731071595103
1Ic2hly1,0.265077978186309
1PPbaTwt,0.0769907670328394
1qDZNvIm,-0.319344353256747
1SO5VJNy,0.256071913056076
28LYJC2V,0.121016803756356
2cx85d9H,-0.194231478770962
2CzACvQq,1.09188674390316
2FT3crfv,-0.142896134132752
2Fy2uHVg,-0.0502717010676861
2homMXMV,-0.0288814656392788
2ldLrUtq,-0.27979361473117
2MkMEApm,0.0376961973495781
2NDGWEOe,0.213296480942518
2nsACW6G,0.340012487210333
2NyyCiqn,0.333232324477285
2QcbdrUZ,-0.395603588595986
2QRzIb84,2.21127724349499
2YgAimWK,0.234134997054935
2yMbVnWc,-0.0155069802887738
36r8sgGQ,-0.125298100616783
3fRLm8f5,-0.176877808140125
3mZhp1nQ,-0.505820307135582
3NXAXCl3,-0.524861364066601
3pikJXRL,-0.367272273264825
3pxOEGHL,-0.135733881383203
3QG0z6fl,0.217553617246449
3ttdV3f5,1.42889807745814
3v4X6Mfe,-0.21006287522614
3wORuPiv,1.23262710571289
3WS8R9qm,-0.509158540982753
43EfrxZj,0.470166215486825
457Vwm21,2.95643675327301
46KNnOdx,-0.000364728248678148
47TwNsVC,0.569438657909632
49856RpO,-0.212429078132845
4Ane1o2N,-0.141753749153577
4AyVUgSc,-0.437020586431026
4B1951On,-0.19331291783601
4eQ90eLY,2.51012796759605
4o5jwMj8,-0.0971459261374548
4OL39Teo,0.836229887604713
4vPgpl2c,-0.162327613425441
51r9aA0d,-0.352935821237043
58SmeRoP,0.540640953928232
5a8sf6QV,-0.123210711288266
5eSvmqYm,-0.307091097347438
5HJp1AXn,0.202006239257753
5hkN8fiv,-0.353830651566386
5MBZW7fx,-0.437249381840229
