PIDN,Ca
09gt9UK5,-0.520416262745857
0BVvxJ6a,0.429308564588428
0dTqplIM,0.122924242774025
0KbdgApg,-0.0962573696859181
0lNiZicC,-0.61515341848135
0MnuuduB,-0.314922039955854
0PcIsF9z,-0.578658902645111
0rGeJ0QN,-0.389753288030624
0ShTFLYJ,-0.513452546298504
0sXI9ytQ,-0.494925354421139
0ukt4aP6,0.52308911010623
0XZh9jka,-0.460688917338848
0Y7Wegri,-0.294569266960025
1AGspb8f,-0.506456138193607
1arHxK3Y,1.13288604617119
1Csy0gvE,-0.430458451807499
1fCW4Bba,-0.430173254013062
1Ic2hly1,-0.342440789937973
1PPbaTwt,-0.391952139139175
1qDZNvIm,-0.453863736987114
1SO5VJNy,-0.354009325057268
28LYJC2V,-0.403773030638695
2cx85d9H,0.127876653429121
2CzACvQq,0.323979000002146
2FT3crfv,-0.326749604940414
2Fy2uHVg,-0.459910856187344
2homMXMV,-0.498366567492485
2ldLrUtq,-0.454022784531116
2MkMEApm,-0.422987088188529
2NDGWEOe,0.558325769007206
2nsACW6G,-0.457393015921116
2NyyCiqn,-0.373654130101204
2QcbdrUZ,-0.44278728812933
2QRzIb84,0.145202881004661
2YgAimWK,-0.355114421620965
2yMbVnWc,-0.530294837057591
36r8sgGQ,-0.38684366941452
3fRLm8f5,-0.354577381163836
3mZhp1nQ,-0.517936615645885
3NXAXCl3,-0.426010183990002
3pikJXRL,-0.417214949429035
3pxOEGHL,-0.412008665502071
3QG0z6fl,-0.479326716065407
3ttdV3f5,-0.431810513138771
3v4X6Mfe,0.934734237194061
3wORuPiv,-0.444448912143707
3WS8R9qm,-0.511394587159157
43EfrxZj,-0.00352330014866311
457Vwm21,0.0060745163122192
46KNnOdx,-0.504682131111622
47TwNsVC,-0.473324958980083
49856RpO,-0.368697528541088
4Ane1o2N,-0.487722913920879
4AyVUgSc,-0.489185330271721
4B1951On,-0.18372853519395
4eQ90eLY,-0.187675837241113
4o5jwMj8,-0.417573723196983
4OL39Teo,0.00192400487139821
4vPgpl2c,-0.510919579863548
51r9aA0d,-0.451259738206863
58SmeRoP,-0.289826589077711
5a8sf6QV,0.0581842113286257
5eSvmqYm,-0.338316279649734
5HJp1AXn,-0.364238272607326
5hkN8fiv,-0.39925494492054
5MBZW7fx,-0.0903036892879754
5Nq3gHaP,0.300628542155027
5oK8Gti5,-0.478031811118126
5paniGaU,-0.492653664946556
5RmwFFK3,0.550396935641766
5Tu5Jbov,-0.409951819479465
5vsr7ZUP,0.834625682234764
5YEolkev,-0.340015222877264
60B4xMWI,-0.268699611723423
64jOUtKy,0.241125667467713
6AJo4xNG,-0.376889399439096
6CAvhEte,-0.39725561439991
6CuGYjT5,2.64931882619858
6DGH8ujZ,-0.457805521786213
6eUWsVzw,0.497715293616056
6gNyO7Do,0.188366841408424
6jT0AyHe,-0.00468095864634961
6nBgCvWu,-0.461974830925465
6PzsGdVm,-0.331625282764435
6ro5mqg6,-0.316839710995555
6sGqObX4,-0.485722477734089
6UcSJMbq,-0.269586738198996
6uEGy0n4,1.80212567448616
6WJbkH8U,1.22187304198742
7aF7nnwn,-0.555689306557179
7asGzfX9,-0.188753093034029
7BZ4LxP8,-0.151671769749373
7cg7C92o,-0.0992788899689913
7CmigXKi,-0.449931851029396
7eOxTpsB,-0.373197992146015
7ey0v7ma,-0.371606393158436
7Ga0LpfR,0.405643223971128
7gocyrYl,-0.275416041910648
7gqR3GoA,-0.408198058605194
7og7aUXB,-0.203284627571702
7onRfa8F,-0.0777338963467628
7PQsFvsG,-0.443306587636471
7umkNuxM,-0.178479797393084
7vPr9ExD,-0.0391053167608334
7zNjpCzu,-0.414322093129158
7ztsQNj3,-0.414011272788048
86gppwMI,-0.552103760838509
88thAGdL,-0.316582977026701
8ajs2uG8,-0.372168460488319
8bXnz62p,-0.17828381517902
8GhU8STP,0.967346704006195
8NlzDcWe,-0.562567467987537
8nO1O1LG,1.73866428136826
8QAejdLW,-0.146821661293507
8RDeFxWM,-0.325993077456951
8UXP2NBS,-0.544869889318943
8xE1p8g8,-0.457971239089966
8yMDVMRM,-0.424547530710697
8ZoV3KGT,-0.196929772943258
98R5VaPi,0.347770594805479
9DcTz2Ua,2.78682872056961
9G7nfUrK,-0.397082386910915
9iQwmFJR,-0.301150923967361
9O6GZ1HT,-0.183225120708812
9S7fCoAM,-0.465205579996109
A3Mt6SAQ,1.13161429464817
a7bhJGBU,2.00384339690208
AaFvEoHq,-0.425342752039433
abCzN1zx,-0.501042395830154
ae7sMiB4,-0.126081189140677
afsVuCGV,-0.404695386998355
aHpv6KzP,3.06535376310349
AiIPD6hX,-0.255529256165028
aINzEBVN,-0.42459754049778
aiwBQETI,0.0531405271030962
aiyli4EI,2.1938148021698
AJIsQIcV,-0.391717848181725
AMHKXMh8,1.35054021179676
aP9EtTGF,1.8963178396225
apJ7NmzD,1.5931260406971
AsIURvJS,-0.430040024220943
AsvgbJ0C,-0.28539683399722
ASwA2J4E,-0.331238040328026
atVjNMtQ,-0.426571352779865
aV6EhtSL,-0.433698605000973
aVZsXKoH,1.73861408233643
AxEhbkCM,-0.391913563758135
aYVnVJvc,0.085755835659802
b5GirVGV,-0.51182966530323
B7VPkIpx,-0.338940604031086
b9SpMjNB,-0.239671585708857
bAFs37yy,-0.387932139635086
bat8tcGs,-0.292955877631903
BBwHqHiH,-0.1029525549151
bDia1hHV,-0.387363111972809
bfjej4wu,-0.469026459753513
bFkv5Mtr,-0.257260072417557
bh04YDiP,-0.272799651324749
bHe2IXgA,-0.463793540000916
BMyps8hr,-0.25235330760479
BUHS4dQw,0.163226209010463
bWX3vUm5,-0.0356348219967913
BZB3EYWQ,-0.332479590177536
c110Fdc8,-0.286094835400581
c32GUzMa,-0.581607480347156
C5gIfQbJ,-0.520400054752827
C5UPCZcL,2.89789187908173
CDRuu4Pn,-0.317732411623001
ceNvS3yd,-0.426540669798851
ChnD1nrN,-0.532600842416286
