PIDN,Ca
09gt9UK5,-0.460564462840557
0BVvxJ6a,0.564095371961594
0dTqplIM,0.0260291387327015
0KbdgApg,-0.0528208924923092
0lNiZicC,-0.529111635684967
0MnuuduB,-0.317781645059586
0PcIsF9z,-0.682019364833832
0rGeJ0QN,-0.396784996986389
0ShTFLYJ,-0.525188714265823
0sXI9ytQ,-0.487278020381927
0ukt4aP6,0.678982526063919
0XZh9jka,-0.346047919988632
0Y7Wegri,-0.324841237068176
1AGspb8f,-0.449806302785873
1arHxK3Y,1.22884018421173
1Csy0gvE,-0.445696038007736
1fCW4Bba,-0.317251464724541
1Ic2hly1,-0.331542652845383
1PPbaTwt,-0.40459303855896
1qDZNvIm,-0.468416738510132
1SO5VJNy,-0.333193081617355
28LYJC2V,-0.411412942409515
2cx85d9H,0.241518583893776
2CzACvQq,0.392832487821579
2FT3crfv,-0.301793059706688
2Fy2uHVg,-0.469093686342239
2homMXMV,-0.508798253536224
2ldLrUtq,-0.520521706342697
2MkMEApm,-0.425103765726089
2NDGWEOe,0.780947077274323
2nsACW6G,-0.440879267454147
2NyyCiqn,-0.362035351991653
2QcbdrUZ,-0.42071818113327
2QRzIb84,0.162627152353525
2YgAimWK,-0.356234991550446
2yMbVnWc,-0.401178732514381
36r8sgGQ,-0.378499686717987
3fRLm8f5,-0.34479905962944
3mZhp1nQ,-0.492830765247345
3NXAXCl3,-0.397197109460831
3pikJXRL,-0.374328568577766
3pxOEGHL,-0.422808921337128
3QG0z6fl,-0.539041471481323
3ttdV3f5,-0.399047666788101
3v4X6Mfe,0.986544501781464
3wORuPiv,-0.424538993835449
3WS8R9qm,-0.482496124505997
43EfrxZj,-0.0251506123691797
457Vwm21,-0.035940882563591
46KNnOdx,-0.474146723747253
47TwNsVC,-0.496927446126938
49856RpO,-0.391593134403229
4Ane1o2N,-0.473054850101471
4AyVUgSc,-0.424594080448151
4B1951On,-0.173795787990093
4eQ90eLY,-0.159978525340557
4o5jwMj8,-0.415643399953842
4OL39Teo,0.00371103473007679
4vPgpl2c,-0.441365867853165
51r9aA0d,-0.407946676015854
58SmeRoP,-0.417644038796425
5a8sf6QV,0.0443189367651939
5eSvmqYm,-0.359173852205276
5HJp1AXn,-0.364631128311157
5hkN8fiv,-0.559366351366043
5MBZW7fx,-0.0620127879083157
5Nq3gHaP,0.268865571916103
5oK8Gti5,-0.488401484489441
5paniGaU,-0.479314959049225
5RmwFFK3,0.664792025089264
5Tu5Jbov,-0.468505650758743
5vsr7ZUP,0.953069508075714
5YEolkev,-0.391821211576462
60B4xMWI,-0.34217953979969
64jOUtKy,0.209839795902371
6AJo4xNG,-0.35146980881691
6CAvhEte,-0.421843099594116
6CuGYjT5,2.96362867355347
6DGH8ujZ,-0.530656510591507
6eUWsVzw,0.59970840215683
6gNyO7Do,0.264912393689156
6jT0AyHe,0.00628693029284477
6nBgCvWu,-0.449156761169434
6PzsGdVm,-0.376452165842056
6ro5mqg6,-0.339426049590111
6sGqObX4,-0.527518165111542
6UcSJMbq,-0.434914073348045
6uEGy0n4,2.15748016834259
6WJbkH8U,1.23564748764038
7aF7nnwn,-0.506625682115555
7asGzfX9,-0.197733479738235
7BZ4LxP8,-0.215668600797653
7cg7C92o,-0.104821972548962
