PIDN,Sand
09gt9UK5,1.48373377919197
0BVvxJ6a,-1.26263852715492
0dTqplIM,-1.0329531416297
0KbdgApg,-0.513283859193325
0lNiZicC,0.470377447083592
0MnuuduB,-0.654968678951263
0PcIsF9z,-0.262224197946489
0rGeJ0QN,-0.431685278564692
0ShTFLYJ,0.408316233125515
0sXI9ytQ,1.7210363984108
0ukt4aP6,-0.376790964230895
0XZh9jka,-1.22066788971424
0Y7Wegri,0.349787868373096
1AGspb8f,-1.25796340405941
1arHxK3Y,-0.601672346889973
1Csy0gvE,0.670914044976234
1fCW4Bba,1.07616485655308
1Ic2hly1,0.215967274270952
1PPbaTwt,0.814071822911501
1qDZNvIm,1.17187920808792
1SO5VJNy,0.852306896448135
28LYJC2V,-0.87036392390728
2cx85d9H,-0.874546819925308
2CzACvQq,-0.307878109812737
2FT3crfv,-0.834594610333443
2Fy2uHVg,-0.489602568000555
2homMXMV,0.225325537472963
2ldLrUtq,0.0596928183920682
2MkMEApm,0.870535944402218
2NDGWEOe,-0.450846309401095
2nsACW6G,-1.37552147209644
2NyyCiqn,0.771324142813683
2QcbdrUZ,0.664851368963718
2QRzIb84,0.551388965547085
2YgAimWK,0.700529705733061
2yMbVnWc,0.553581824386492
36r8sgGQ,0.935847216844559
3fRLm8f5,-0.0286878231912851
3mZhp1nQ,0.817004087567329
3NXAXCl3,-0.974732920527458
3pikJXRL,-0.924762773513794
3pxOEGHL,0.891765668988228
3QG0z6fl,1.113294044137
3ttdV3f5,-0.0729893194744363
3v4X6Mfe,0.0749854436493479
3wORuPiv,-0.842271135747433
3WS8R9qm,-0.946758875250816
43EfrxZj,-0.665245898813009
457Vwm21,-0.43299913443625
46KNnOdx,-0.215928436815739
47TwNsVC,-1.3761302947998
49856RpO,-0.957209086418152
4Ane1o2N,0.0527621528832242
4AyVUgSc,0.163396658748388
4B1951On,0.787735202908516
4eQ90eLY,-0.16529695969075
4o5jwMj8,0.697156888246536
4OL39Teo,-0.517055586632341
