PIDN,Ca
09gt9UK5,-0.486995661258698
0BVvxJ6a,0.426797902584076
0dTqplIM,0.293726826831698
0KbdgApg,-0.156283449940383
0lNiZicC,-0.372940615564585
0MnuuduB,-0.141169500350952
0PcIsF9z,-0.455328631401062
0rGeJ0QN,-0.321883588656783
0ShTFLYJ,-0.278150510787964
0sXI9ytQ,-0.282767354510725
0ukt4aP6,0.972962853312492
0XZh9jka,-0.437582632154226
0Y7Wegri,-0.244149538874626
1AGspb8f,-0.392800534516573
1arHxK3Y,0.751538639515638
1Csy0gvE,-0.394015088677406
1fCW4Bba,-0.294819926423952
1Ic2hly1,-0.407266603410244
1PPbaTwt,-0.431896550953388
1qDZNvIm,-0.50947463363409
1SO5VJNy,-0.290239358693361
28LYJC2V,-0.349920625984669
2cx85d9H,-0.0267749842721969
2CzACvQq,0.436720553040504
2FT3crfv,-0.219038367923349
2Fy2uHVg,-0.441143925487995
2homMXMV,-0.470677414536476
2ldLrUtq,-0.34370027333498
2MkMEApm,-0.358462258428335
2NDGWEOe,0.582895052433014
2nsACW6G,-0.288252646359615
2NyyCiqn,-0.300602142512798
2QcbdrUZ,-0.343599937856197
2QRzIb84,0.229148188512772
2YgAimWK,-0.331795006245375
2yMbVnWc,-0.351094347238541
36r8sgGQ,-0.373493030667305
3fRLm8f5,-0.37678302526474
3mZhp1nQ,-0.443753337860107
3NXAXCl3,-0.418494595587254
3pikJXRL,-0.332377356290817
3pxOEGHL,-0.488225692510605
3QG0z6fl,-0.428564068675041
3ttdV3f5,-0.381898994743824
3v4X6Mfe,1.69214887619019
3wORuPiv,-0.363813576847315
3WS8R9qm,-0.0234214478172362
43EfrxZj,0.0776893430389464
457Vwm21,0.0745556252077222
46KNnOdx,-0.470892217755318
47TwNsVC,-0.228363950736821
49856RpO,-0.301566901430488
4Ane1o2N,-0.28845921009779
4AyVUgSc,-0.346840565651655
4B1951On,-0.127369158976944
4eQ90eLY,0.0946850446751341
4o5jwMj8,-0.403545115888119
4OL39Teo,0.0327265598112717
4vPgpl2c,-0.451055027544498
51r9aA0d,-0.389042437821627
58SmeRoP,-0.297535969316959
5a8sf6QV,-0.168925108597614
5eSvmqYm,-0.363383206725121
5HJp1AXn,-0.314506573230028
5hkN8fiv,-0.335279492288828
5MBZW7fx,0.25241540260613
5Nq3gHaP,0.359312705975026
5oK8Gti5,-0.441888278722763
5paniGaU,-0.558088290691376
5RmwFFK3,0.0865577018354088
5Tu5Jbov,-0.367646072804928
5vsr7ZUP,0.385966277122498
5YEolkev,-0.316303401440382
60B4xMWI,-0.229379623383284
64jOUtKy,0.174774235673249
6AJo4xNG,-0.376628252863884
6CAvhEte,-0.366877023875713
6CuGYjT5,2.6336850643158
6DGH8ujZ,-0.409687928855419
6eUWsVzw,0.469173722714186
6gNyO7Do,0.0133395063574426
6jT0AyHe,0.370745339989662
6nBgCvWu,-0.372221463918686
6PzsGdVm,-0.281183540821075
6ro5mqg6,-0.300656642019749
6sGqObX4,-0.442938120663166
6UcSJMbq,-0.159536176733673
6uEGy0n4,1.65347751379013
6WJbkH8U,1.32823385000229
7aF7nnwn,-0.486865437030792
7asGzfX9,-0.176342588383704
7BZ4LxP8,-0.0772453880868852
7cg7C92o,-0.153643767628819
7CmigXKi,-0.414048936963081
7eOxTpsB,-0.43623698502779
7ey0v7ma,-0.401230442523956
7Ga0LpfR,0.0477213752456009
7gocyrYl,-0.263182634487748
7gqR3GoA,-0.34821515083313
7og7aUXB,-0.105147794354707
7onRfa8F,0.0438285974785686
7PQsFvsG,-0.389692763984203
7umkNuxM,-0.143747087795055
7vPr9ExD,-0.137567207263783
7zNjpCzu,-0.454184651374817
7ztsQNj3,-0.324180313199759
86gppwMI,-0.496674616634846
88thAGdL,-0.473084388673305
8ajs2uG8,-0.352954839169979
8bXnz62p,0.0416640533134341
8GhU8STP,0.876024413108826
8NlzDcWe,-0.407947916537523
8nO1O1LG,1.25710083842278
8QAejdLW,-0.176305478997529
8RDeFxWM,-0.379626873135567
8UXP2NBS,-0.399776280671358
8xE1p8g8,-0.315452477708459
8yMDVMRM,-0.377011240273714
8ZoV3KGT,-0.203989933431149
98R5VaPi,0.819278630614281
9DcTz2Ua,2.08726454973221
9G7nfUrK,-0.290507617965341
9iQwmFJR,-0.39015040397644
9O6GZ1HT,0.0589334032643819
9S7fCoAM,-0.357782355695963
A3Mt6SAQ,1.49531670808792
a7bhJGBU,2.16851754188538
AaFvEoHq,-0.438472861051559
abCzN1zx,-0.375245099142194
ae7sMiB4,-0.149534177407622
afsVuCGV,-0.426512329280376
aHpv6KzP,3.41597727537155
AiIPD6hX,0.0563033990561962
aINzEBVN,-0.303536352515221
aiwBQETI,-0.0447152727516368
aiyli4EI,0.629066460207105
AJIsQIcV,-0.302876444533467
AMHKXMh8,1.241827917099
aP9EtTGF,1.78625040650368
apJ7NmzD,0.921160355210304
AsIURvJS,-0.127573434077203
AsvgbJ0C,-0.249396302178502
ASwA2J4E,-0.223867370188236
atVjNMtQ,-0.281406225264072
aV6EhtSL,-0.410410410165787
aVZsXKoH,1.21421013176441
AxEhbkCM,-0.341323705017567
aYVnVJvc,-0.0566317852062639
b5GirVGV,-0.313244839757681
B7VPkIpx,-0.289236687868834
b9SpMjNB,-0.333688362687826
bAFs37yy,-0.415575908124447
bat8tcGs,0.188801667187363
BBwHqHiH,-0.0124821923674972
bDia1hHV,-0.220667334273458
bfjej4wu,-0.342054507881403
bFkv5Mtr,-0.265981118381023
bh04YDiP,-0.184126355312765
bHe2IXgA,-0.293758216500282
BMyps8hr,-0.149382609315217
BUHS4dQw,0.214810943370685
bWX3vUm5,-0.202094755321741
BZB3EYWQ,-0.289141911268234
c110Fdc8,-0.270095311850309
c32GUzMa,-0.499070055782795
C5gIfQbJ,-0.337838935479522
C5UPCZcL,3.26442145109177
CDRuu4Pn,-0.335415600985289
ceNvS3yd,-0.441338115930557
ChnD1nrN,-0.376407638192177
ChQdtl4J,-0.48972894102335
cmwdt4Av,1.37058715820313
cn4EHsup,-0.473644822835922
CQhTYkqE,0.483103515207768
crVOGGTT,-0.391389974951744
CSEobMXv,-0.321722628176212
csPEJ1E5,-0.389729371666908
cT6uU0B0,-0.444738790392876
CvtbbIcq,1.05575080513954
cWXCiFwh,-0.399445337057114
Cxk06b77,-0.00487040737061761
CYMQE4x0,0.057888210908277
d0UrRtMk,-0.323818163573742
D3QD3ZEJ,0.00507806101813912
d6LU4G4I,-0.418133771419525
d74T1DVv,-0.362997826188803
D8J5C6lA,0.543801636993885
DCeQwYfT,-0.168629341386259
DDEftkx3,-0.53870534747839
de43ycXY,0.108473264658824
DEwCfeDW,-0.281730514578521
dfIn7m9z,-0.307577251642942
dhmb9ZY9,2.70737919807434
DMkIV4oL,-0.419151988625526
dn8kCuyf,-0.379128239303827
DnzGfbxS,-0.167036572284997
DoZxo6f6,-0.409533758461475
dpcquvWW,-0.417048619687557
dqcbIMyr,-0.541386517882347
dR6rM1tQ,0.186927907740755
drWgsBf5,-0.280572374537587
dUnlyhj7,0.805564385652542
dUNxOoqg,-0.382453654706478
dVDlnZQ6,-0.211517579760402
DvhBPGIk,-0.354676843434572
dVT26GDu,-0.375762479752302
Dx7GoUcT,-0.374145121127367
dytx0HSe,-0.570187817513943
e4KkkIha,1.91204622983933
E5hIjohO,0.480241669714451
E6x4XGHt,-0.350988787412643
e9YorH4m,-0.117034656368196
eaIwb3rG,-0.330440410971642
eB9gVQ0R,-0.426539413630962
EDEpAzh1,-0.225845469906926
Ehw2Jz6s,-0.288035674393177
EjqzC4zH,-0.235143666621298
EkMZO3Qj,-0.488765430450439
eMhLFqU6,-0.474804800748825
eMllg1qm,0.381831296533346
EnoNXWvU,-0.140076885744929
eNPunZ9i,-0.453214132785797
Epv8ANwr,-0.177165756560862
eS5BSM4J,-0.441048254072666
ETGudkQt,-0.339246590435505
Etro9j0B,-0.164237242937088
EUleKrLJ,2.05565955638885
eVGMFoOI,-0.271184620796703
eyzw8Vis,-0.490043853223324
f04Ke2bN,-0.310910207778215
F3MIZj76,-0.413552451133728
f4GA0te1,-0.30591956153512
f7bd91h5,-0.350080855935812
favPNA2N,-0.46298406124115
FaW764jk,-0.219707923382521
fB7z9ndr,-0.43225886374712
FB8tU00K,-0.409323783963919
FeAbMXly,-0.499050305783749
fEe7AWFA,-0.027838050830178
FeudaFXn,1.6176259636879
fJJIbgY9,0.304566080123186
FldUmFeM,1.35188036262989
FLhxBGMK,-0.0572153735440224
Fnv5tfAm,-0.217303634015843
fQBURMvg,-0.346505958586931
FRreR8ka,-0.458947721123695
fS0HpOub,-0.374804317951202
fTDXauuk,0.449450308084488
FvrAd3Or,-0.2867027297616
FXne4oAV,0.468365812301636
g3Fv0U4k,-0.431476175785065
G48zHffi,0.00528706624172628
g5PKo2E2,0.549535466730595
G76zCv5N,-0.320607140660286
G7JGUdNf,-0.0955200704571325
gbjnD5fe,-0.406088379025459
GCo6MONx,0.900122308731079
GE0vbpVQ,-0.198867043107748
ge9zqXCv,-0.102718382375315
geeqJpSE,-0.420955918729305
GemPjTJ9,-0.407462038844824
GkLYRm1K,1.91632042527199
GmlqP8eI,-0.237983017228544
GN0DfOqt,-0.350352193415165
GNsTAb1v,-0.214064677944407
GPwmO21z,-0.258112839609385
GqkIrOvf,-0.329462290555239
gqy1J2RS,0.0696513185917866
GQYpfLoh,0.0284043377730995
GR9knT8n,-0.385030723363161
grlUtS3H,-0.0986339954892173
gx965KYj,-0.128090582601726
GXtFFbZy,-0.228022124618292
GYvzvvFD,-0.531893566250801
H0fsegPi,-0.403929095715284
h3F08Vjm,-0.407090343534946
H4dHpJjU,1.91230618953705
H5QwJCuU,1.44583160281181
H5uwmSZ0,-0.493705278635025
h6FQG8Iy,-0.351019625365734
h7ftM8b3,1.10946487188339
H8MtbVoL,-0.38023915886879
H9JrUYnp,-0.433204437047243
HdKcxEWr,0.244330027932301
HecW1iCC,-0.386755461245775
hf65yZkM,0.315147283673286
HHYmmHVk,-0.483470167219639
HJ5U4uqL,-0.512943597137928
hjuwe1x4,-0.332537116855383
hLrCHXZv,-0.0929143206682056
HNQxYc4w,-0.314833547919989
HpbKB8rv,-0.32500860914588
hQ6VBuFx,-0.4015235863626
HQYhKHZ8,-0.434672500193119
HrkoYjCg,-0.098886520839369
HSCMx0MC,-0.411017440259457
HXYuE0fx,1.62589250206947
hyINlsFR,-0.509989935159683
hYoR2y7w,-0.193238718528301
i0Qlm9Bv,-0.146088897390291
i1VxfxMb,-0.263721914589405
i2l6jXNP,-0.447962652146816
i4FgPZv7,-0.457234346866608
I5P2uquT,-0.194235759414732
i7XtIkSi,-0.197936744987965
I94qkDM7,-0.486881805956364
I9sQbtt8,-0.374551529437304
i9z346Ut,-0.243526834994555
Iaq3v0t3,1.42582616209984
IbVwu1t6,-0.440842562913895
IcHKTLyo,-0.164340319111943
iDOat4cZ,1.68095481991768
ieTPaa3c,-0.361420750617981
if7BmzU0,-0.425646977126598
IFxgw6ZX,-0.344231057167053
ihNz5bmx,-0.362069192528725
ikJXKdIN,-0.392597394436598
iNv6RoSO,-0.0991014232859015
IPPPSyoU,-0.47739721685648
IpW80wVB,-0.241075245477259
iq2kxikN,-0.127916708763223
IQOYQubU,1.62891053557396
iSL9NYzy,2.59388451576233
iSqVc1r8,-0.0125321436964441
Itb0PYUV,1.75818812847137
iuZEDJK7,-0.400211340934038
iyF8gVT7,-0.499031402170658
IYNE2SxU,-0.374158757925034
iYZMftt6,-0.299833894101903
IZRFk9kN,-0.0797140708542429
j06qdQ0V,-0.368640169501305
j7hl8svO,-0.220027853175998
J8fpSwS0,-0.511999228596687
j8hMoJUN,-0.424002832174301
JcE9G92B,-0.177444763667881
JE1SlbD0,0.546805001795292
JEB4McNb,1.12119543254375
JEE4QVeQ,-0.145474208984524
JJSEU2VQ,-0.478235468268394
jNaFasbV,-0.439525198936462
JnNYpXHr,-0.0703805945173372
JSsVriP2,-0.0562133836036082
juO5ii5l,0.0100346432998776
JUvQNiOK,0.162151847989298
jVVHeYHT,-0.228765545599163
jXm4ySvK,-0.378589650988579
JZbrRtm2,0.0705997069599107
JzpbnOtz,-0.458880458772182
JzzUhPQp,1.53898138403893
K05R8dQK,-0.338452088832855
K17pG2mG,-0.212869759649038
k2hdEBsU,-0.48052963167429
k3ynMfhN,0.385743649303913
K8BellUe,0.317603335902095
k9C9yBtr,-0.085527604771778
kAKRvcRo,-0.388474549353123
kaW0TfRn,-0.398038478195667
kBi3R2oC,-0.117582479980774
kDWmnsXe,-0.00599793714936823
KJ2eH6rr,-0.085501753538847
KJEJ6Glk,0.48489947617054
KmbAyTcE,-0.118363138474524
kmg3SowO,-0.385003362596035
KnNyl3rV,0.224578863382339
Kp2DG8TZ,-0.199966657861478
kpxKSlnF,1.67751962542534
KqQtKWs5,-0.415177738666534
KSbO0oXS,0.189694134891033
kSGBd2Vh,-0.362724626809359
kT0miHPT,-0.234564731735736
Ku27g63R,1.06777816414833
ku2cn1MV,0.213712921179831
KXtvmd01,-0.250818222016096
KYiJqBuJ,-0.00664903558790684
l1su5HU9,-0.330504080653191
L2aTVqDq,-0.3671391479671
L5jvq6G4,-0.470240490138531
l8Tg2RvD,-0.236149964760989
L91hYVQl,-0.261013004556298
La2Vhnne,0.201288960687816
LaUWSq9B,0.147346453182399
lB6NsVOc,-0.40414152815938
lcOnCdZi,0.194810761511326
le9YGwON,-0.0974822017829865
lEcdVyKk,-0.471310162544251
lH4TasGl,0.11300060574431
LINAMlbA,-0.503373727202415
LJoUNXSx,-0.422899040579796
Lk4SfkPQ,-0.302741175144911
LllC836d,-0.130741953197867
llMvu3TX,1.77006046772003
LLtSiyWD,-0.256458476372063
lnHh2jFO,0.135995903503499
lO9aggHW,-0.21767013669014
LQJtV8kn,0.0226558751426637
LuGiGeWN,-0.505333410203457
lW3m9Vzu,-0.360819537192583
LW9uddw7,-0.33929211422801
lYLseGDP,-0.0479555717669427
LZ6sdBTR,0.241419386863709
LzcyHcWa,-0.459488415718079
m07CVXd4,-0.481582328677177
m1lPk91z,-0.183088626665995
M7veP0H4,-0.428340284526348
m9IQdmwa,-0.271875029057264
MB8aaJUc,-0.459431195259094
mbzNdxNc,-0.288707560859621
Mdgy4SsO,-0.0559919171850197
MDpe2zuy,-0.356026161462069
MEzdmEIU,-0.286445564776659
mG9BRy5x,-0.389738900959492
Mj8awnzy,-0.307143995910883
mntH7g3L,-0.0724311960861087
MpFPbUJy,1.77565756440163
Mqk7MFBM,-0.287976709008217
Mqs2t1Eo,-0.267072175443172
msRTXP3H,-0.290291991829872
Mv3jFVxp,-0.150812226161361
mVHXnama,-0.294296091794968
MVnhtivm,-0.267720741406083
mxBjvIPR,-0.385049198567867
MxODTXvA,-0.000434999819844961
mXyrR6nU,-0.452274230122566
MYU7WDis,-0.10682254480198
MZFqh6yw,1.2859027326107
N46PbpPM,-0.341994235664606
N5S5F9Gk,-0.479801711440086
n8Opmfbz,1.13138552010059
NaJo7C6o,0.565475045051426
NgsyGkrO,0.554538941383362
nhttf7VM,0.0813915221486241
njLbXYa3,-0.380122248083353
NjOx4Zpo,-0.338304150104523
NLDg5fqw,-0.0489165948471054
NmQoI7x0,2.37831810116768
No4wkdLS,-0.372702468931675
NOho2ZiM,1.71134919524193
nOkgU29Q,-0.347360162436962
NouMwhOf,-0.112683401536196
NUuY7PFU,1.9046461224556
NV1e8AEO,-0.428650237619877
nwkIpzmh,0.676658141613007
nzB1R9Zg,-0.0362861091736704
NZLXROKC,-0.00365595063194633
o1rZRI84,-0.318527317792177
O6YAWd8C,-0.0120309738442302
o7q5Mbty,0.0356492942199111
OAXVphSh,1.8586868584156
ob5Kb6dW,-0.459422397613525
obnzqs79,-0.329987205564976
OcBFW1AX,-0.524077834188938
oCBvysqB,-0.412943534553051
oDmycTPH,-0.362846986204386
Of9V2rpt,-0.19813220500946
oFAXZvQv,-0.352144183218479
OfLxPhbG,-0.230572593957186
oHE3M1zX,-0.184004695923068
OJBBhb6Q,-0.500710710883141
Ojx2vi48,-0.429448316991329
oMhVmSpV,-0.243309876043349
oncLcgRP,-0.213601367920637
oNsDqVbi,-0.0479177479166537
ooWVYaAe,-0.300325296679512
osdyOUnV,-0.519495768845081
OSIQXImL,0.574726785719395
OUUFc5Zz,-0.420377483963966
OVk1lquT,0.110750442696735
OXdRxjzz,-0.306700570881367
OXxW2ekf,-0.38712333701551
OXz5OpqR,-0.0562810748349875
oYAJqQk8,-0.236561378836632
P3M32iuT,-0.155219316110015
p7H9CzCv,-0.398617954552174
P7olVzrO,-0.397741607576609
p7U9hVhY,-0.393748688697815
PAPHErnv,-0.46191878169775
pavfp3cc,0.140639322507195
PBjEtfXb,-0.345427915453911
pbQdC5L3,-0.4568235501647
Pc2RrxXS,-0.457234172523022
PcHQ4FOu,-0.493476913869381
pE6Cf1RV,-0.44748841971159
PeNyTOVN,-0.188070784392767
pgj7aAFP,-0.250547735393047
PhUPSU53,-0.343998575955629
pI7qzotI,-0.261899366974831
pJrIA4sk,-0.300067001581192
PmUNeV2O,-0.355444348976016
PoDJ0uvK,0.690494866669178
PsUJdJdg,0.18537648182828
pxg8G3ed,-0.532412607967854
pXne2CLZ,-0.157446428574622
PZGpoBBj,1.74478961229324
pZMcDIOS,-0.394606256484985
q36Npk6l,-0.416618452221155
Q3xLFx1f,-0.268203517794609
q4aDOVvq,0.571833546459675
qa0etnhK,0.067743309494108
QBGxCvdM,-0.180845722265076
qbL4sboq,-0.375836566090584
qbYrsWHq,0.451093327999115
QCEPyu6L,-0.419416978210211
QEfwec4s,2.65435717105865
qGmfR9CN,-0.31050868332386
qJ51ODpA,-0.394852223992348
QlyGN9jv,-0.390269950032234
QqgWE1ny,-0.398347513377666
qQX3cs3I,0.00310625010170043
QrjjBpZd,-0.337831854820251
QsaBiX7V,-0.376526682078838
