PIDN,SOC
09gt9UK5,-0.597877851128578
0BVvxJ6a,-0.00187075819121674
0dTqplIM,0.540470580756664
0KbdgApg,0.370925168506801
0lNiZicC,-0.555102510750294
0MnuuduB,0.157634712941945
0PcIsF9z,-0.109794442169368
0rGeJ0QN,0.249358170363121
0ShTFLYJ,-0.717729493975639
0sXI9ytQ,-0.461555085331202
0ukt4aP6,-0.330673442035913
0XZh9jka,0.465801175497472
0Y7Wegri,-0.189086848450825
1AGspb8f,0.0194440891034901
1arHxK3Y,0.242218205798417
1Csy0gvE,-0.406692095845938
1fCW4Bba,-0.46876057907939
1Ic2hly1,-0.184078090265393
1PPbaTwt,-0.452375055104494
1qDZNvIm,-0.678890642523766
1SO5VJNy,-0.30536821000278
28LYJC2V,0.754489803314209
2cx85d9H,0.336890298128128
2CzACvQq,-0.320839532453101
2FT3crfv,0.0120210400782526
2Fy2uHVg,-0.475747729837894
2homMXMV,0.132608735701069
2ldLrUtq,-0.38870696797967
2MkMEApm,-0.604284630715847
2NDGWEOe,-0.64996809065342
2nsACW6G,1.02917834818363
2NyyCiqn,-0.43054488748312
2QcbdrUZ,-0.440368358045816
2QRzIb84,-0.250144487625221
2YgAimWK,-0.526884610950947
2yMbVnWc,2.03399962186813
36r8sgGQ,-0.558147716522217
3fRLm8f5,0.157153953937814
3mZhp1nQ,-0.481953312456608
3NXAXCl3,0.389287765161134
3pikJXRL,0.431941617466509
3pxOEGHL,-0.650673592090607
3QG0z6fl,-0.412681470811367
3ttdV3f5,0.295729157701135
3v4X6Mfe,-0.353665921837091
3wORuPiv,0.184094029292464
3WS8R9qm,1.47477113604546
43EfrxZj,0.0466523564886302
457Vwm21,0.381272955983877
46KNnOdx,0.0145878274401184
47TwNsVC,1.02152433693409
49856RpO,-0.349489009380341
4Ane1o2N,-0.474292752146721
4AyVUgSc,-0.582492282986641
4B1951On,-0.236615239549428
4eQ90eLY,0.490153858810663
4o5jwMj8,-0.574524661898613
4OL39Teo,0.2553013863042
4vPgpl2c,-0.641795855760574
51r9aA0d,-0.66541753411293
58SmeRoP,-0.190547122503631
5a8sf6QV,0.102135214355076
5eSvmqYm,-0.356814114749432
5HJp1AXn,0.562276920676231
5hkN8fiv,0.681175048649311
5MBZW7fx,-0.281434469111264
5Nq3gHaP,0.467399637401104
5oK8Gti5,-0.550672844052315
5paniGaU,-0.784764847159386
5RmwFFK3,-0.239063504175283
5Tu5Jbov,-0.0733219217276201
5vsr7ZUP,-0.139495659433305
5YEolkev,-0.458586245775223
60B4xMWI,-0.595361037552357
64jOUtKy,1.54521295130253
6AJo4xNG,-0.0265606599859893
6CAvhEte,-0.339714735001326
6CuGYjT5,0.249712037784047
6DGH8ujZ,0.258380748191848
6eUWsVzw,-0.171688500791788
6gNyO7Do,0.682501028478146
6jT0AyHe,0.542307251691818
6nBgCvWu,-0.414071357157081
6PzsGdVm,0.320900578284636
6ro5mqg6,-0.284356533363462
6sGqObX4,-0.429337763041258
6UcSJMbq,-0.486882778257132
6uEGy0n4,-0.557550492882729
6WJbkH8U,-0.0194604318123311
7aF7nnwn,-0.806371584534645
7asGzfX9,-0.320989292114973
7BZ4LxP8,-0.316270396206528
7cg7C92o,1.28205366432667
7CmigXKi,-0.460107393562794
7eOxTpsB,-0.434403152763844
7ey0v7ma,0.0841834676451981
7Ga0LpfR,1.04851881563663
7gocyrYl,0.911091938614845
7gqR3GoA,-0.380707598477602
7og7aUXB,-0.0284517198648246
7onRfa8F,-0.182445682573598
